Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Biological Process	GO:0030036	actin cytoskeleton organization	2.65825987385208e-08	0.00010747344669984	0.663275510035667	1.94114015661251	enriched	380	227	195552.431578947	1946, 57580, 5770, 27086, 4088, 51466, 390, 2195, 2317, 11211, 3815, 58480, 604, 1236, 1906, 4214, 5962, 6387, 9620, 23002, 23370, 26037, 408, 613, 1525, 2036, 4739, 4983, 5154, 5581, 57626, 81624, 596, 2693, 6422, 6711, 7168, 7464, 8522, 10395, 10529, 23043, 221472, 832, 2042, 4703, 5074, 5629, 6385, 7456, 9564, 9645, 9922, 10095, 11078, 23092, 23189, 26499, 27295, 55114, 56776, 84062, 84665, 85462, 133522, 152273, 81, 2255, 3688, 3880, 4205, 4430, 5345, 7430, 9368, 9578, 9788, 10565, 22998, 23096, 51332, 55604, 55785, 121512, 261734, 342184, 399687, 27, 71, 150, 226, 357, 825, 830, 1266, 1409, 1901, 2035, 2037, 2185, 2245, 2934, 3717, 3936, 4070, 5170, 5580, 5584, 5592, 5879, 6280, 6869, 7429, 8476, 8477, 9113, 10458, 11034, 11252, 11346, 23175, 23396, 26269, 27063, 30846, 54509, 54961, 55561, 55971, 57669, 57731, 64780, 84033, 84168, 85464, 85477, 89846, 134549, 25, 29, 118, 119, 358, 359, 391, 395, 822, 886, 998, 1482, 1490, 1627, 1730, 1739, 2041, 2044, 2302, 2316, 3055, 3146, 3265, 3984, 4627, 4633, 5048, 5058, 5071, 5155, 5201, 5588, 5734, 5756, 5880, 5898, 5911, 6709, 6710, 6712, 6863, 7111, 7148, 7184, 7408, 7454, 7481, 8936, 9266, 9353, 9475, 9639, 9826, 10096, 10163, 10344, 10487, 10552, 10810, 10979, 11344, 22899, 23041, 23500, 27032, 27289, 29109, 29127, 50853, 50944, 51474, 54434, 54566, 54822, 55704, 57180, 57216, 57553, 57822, 80206, 84940, 85458, 91807, 93661, 133746, 154796, 253260, 374666, 440073
Gene Ontology Biological Process	GO:0030029	actin filament-based process	1.49724286894293e-07	0.000302667645956814	0.590472048290977	1.80484018606892	enriched	422	242	191683.002369668	1946, 57580, 5770, 27086, 4088, 51466, 390, 2195, 2317, 11211, 3815, 58480, 604, 1236, 1906, 4214, 5962, 6387, 9620, 23002, 23370, 26037, 408, 613, 1525, 2036, 4739, 4983, 5154, 5581, 57626, 81624, 596, 2693, 4644, 6422, 6711, 7168, 7464, 8522, 10395, 10529, 23043, 221472, 832, 2042, 4703, 5074, 5629, 6385, 7456, 9564, 9645, 9922, 10095, 11078, 23092, 23189, 23224, 26499, 27295, 55114, 56776, 84062, 84665, 85462, 133522, 152273, 81, 2255, 3688, 3880, 4205, 4430, 5345, 7139, 7171, 7430, 9368, 9578, 9788, 10565, 22998, 23096, 51332, 55604, 55785, 121512, 261734, 342184, 399687, 27, 71, 150, 226, 287, 357, 825, 830, 1266, 1409, 1756, 1901, 2035, 2037, 2185, 2245, 2934, 3717, 3936, 4070, 4604, 5170, 5580, 5584, 5592, 5879, 6280, 6869, 7429, 7431, 8476, 8477, 9113, 10458, 11034, 11252, 11346, 23175, 23396, 26269, 27063, 30846, 54509, 54961, 55561, 55971, 57669, 57731, 64780, 84033, 84168, 85464, 85477, 89846, 134549, 25, 29, 118, 119, 358, 359, 391, 395, 822, 886, 998, 1482, 1490, 1627, 1730, 1739, 2041, 2044, 2302, 2316, 3055, 3146, 3265, 3984, 4607, 4627, 4633, 4646, 5048, 5058, 5071, 5155, 5201, 5588, 5734, 5756, 5880, 5898, 5911, 6709, 6710, 6712, 6863, 7111, 7125, 7148, 7169, 7170, 7184, 7408, 7454, 7481, 8936, 9266, 9353, 9475, 9639, 9826, 10096, 10163, 10344, 10487, 10552, 10810, 10979, 11344, 22899, 23041, 23500, 27032, 27289, 29109, 29127, 50853, 50944, 51474, 54434, 54566, 54822, 54874, 55704, 57180, 57216, 57553, 57822, 80206, 84940, 85366, 85458, 91807, 93661, 133746, 154796, 253260, 374666, 440073
Gene Ontology Molecular Function	GO:0030234	enzyme regulator activity	1.56261328803084e-07	6.78174167005386e-05	0.400098011577959	1.49197092089959	enriched	912	477	177663.814692982	57580, 595, 5295, 90627, 51422, 8997, 7410, 9693, 10049, 2099, 5570, 5867, 8491, 116328, 2776, 8313, 8925, 9901, 10451, 54453, 125058, 4118, 4258, 5618, 5998, 7164, 9732, 10531, 23263, 23370, 26037, 55160, 153769, 200734, 221178, 408, 613, 2978, 4983, 5520, 5581, 6904, 7074, 8412, 8787, 23094, 23158, 23216, 51232, 55357, 57568, 79658, 84632, 116154, 143872, 153090, 267012, 2192, 2889, 5569, 5909, 6000, 6002, 8853, 9628, 10253, 10395, 23043, 23236, 23268, 25913, 51582, 55844, 57522, 89766, 116984, 153478, 221472, 301, 857, 1793, 2909, 3486, 4325, 4326, 5272, 5575, 7204, 9779, 9922, 10564, 10718, 10788, 10818, 11138, 23092, 23108, 26286, 27290, 51176, 51347, 55114, 64215, 81846, 83478, 116987, 119385, 152273, 221692, 347365, 2, 12, 183, 185, 207, 399, 831, 866, 1293, 2917, 3267, 3315, 3843, 4649, 5265, 5345, 5522, 5660, 6001, 6004, 6690, 6695, 7078, 7128, 8525, 8915, 9467, 9578, 9712, 9754, 9858, 9882, 10188, 10221, 10565, 22821, 23096, 23348, 23550, 23654, 25771, 25998, 26130, 26297, 27237, 28951, 50807, 51050, 51196, 54997, 55200, 55785, 57186, 57533, 64407, 121512, 151242, 259173, 340267, 392617, 414060, 100271715, 259, 302, 306, 331, 337, 345, 351, 394, 650, 721, 825, 1102, 1104, 1123, 1124, 1370, 1473, 1475, 1512, 1950, 1992, 2245, 2621, 2950, 2980, 3725, 4040, 4660, 4851, 4947, 5062, 5364, 5523, 5529, 5577, 5580, 5599, 5923, 6197, 6453, 6497, 6654, 6691, 6788, 6915, 7035, 7356, 7429, 8312, 8476, 8530, 8651, 8786, 8924, 9135, 9166, 9267, 9411, 9448, 9749, 10044, 10125, 10144, 11033, 11069, 22861, 22900, 23101, 23362, 23541, 23637, 25782, 25816, 26269, 51129, 51378, 54866, 55103, 55140, 55561, 57480, 57706, 64283, 65125, 79706, 83853, 84033, 84249, 84253, 84364, 84904, 89846, 91768, 93663, 94134, 124857, 135228, 145376, 161514, 219771, 256394, 729873, 29, 241, 304, 324, 335, 395, 551, 663, 718, 727, 836, 871, 898, 939, 1026, 1121, 1122, 1469, 1470, 1474, 1760, 1956, 2258, 2665, 2764, 2981, 3053, 3309, 3326, 3476, 3558, 3698, 3827, 4168, 4217, 4607, 4659, 4671, 4735, 4824, 5104, 5118, 5132, 5155, 5176, 5296, 5527, 5604, 5605, 5610, 5662, 5707, 5863, 5922, 5981, 5996, 6059, 6103, 6195, 6242, 6295, 6588, 6694, 6794, 7021, 7077, 7079, 7454, 7481, 7813, 7980, 8036, 8437, 8518, 8601, 8725, 8850, 8874, 9021, 9097, 9098, 9162, 9265, 9266, 9353, 9392, 9546, 9610, 9611, 9639, 9771, 9826, 9839, 9989, 10047, 10055, 10411, 10527, 10572, 10598, 10811, 10842, 11047, 11113, 11142, 11183, 11214, 22899, 22924, 22930, 23041, 23523, 23527, 23533, 23741, 23779, 25780, 25791, 26030, 26083, 26086, 26166, 26289, 26575, 28227, 29127, 50618, 50859, 51195, 51256, 51495, 51562, 51719, 54206, 54431, 54848, 54984, 55589, 55619, 55738, 55789, 55843, 56647, 57139, 57221, 57448, 57449, 57465, 57551, 57610, 58504, 59082, 64411, 64805, 64926, 79444, 80005, 80316, 81704, 81928, 83874, 84079, 84651, 85397, 89839, 89932, 91662, 92335, 93594, 94234, 114794, 116983, 116986, 119016, 128637, 128822, 130872, 140686, 144568, 145264, 149708, 151987, 152015, 153020, 153218, 153743, 158763, 164237, 221322, 254272, 255426, 255520, 340204, 345930, 353149, 389337, 389383, 404203, 414059, 440073, 646424, 728404, 100130771
Gene Ontology Biological Process	GO:0008610	lipid biosynthetic process	3.89603978982034e-07	0.000525056295674788	0.520705541170018	1.68321480820021	enriched	487	254	148012.221765914	3480, 5321, 165679, 84909, 51422, 9444, 949, 6850, 8821, 9218, 1906, 1907, 4258, 5618, 9489, 53947, 154141, 2181, 5087, 5154, 5297, 9215, 11145, 29842, 150094, 253782, 653, 3990, 4644, 7357, 79888, 259230, 338596, 301, 476, 1385, 5337, 5629, 6718, 6720, 7903, 8526, 8644, 9261, 23171, 54898, 64577, 84803, 183, 190, 207, 2055, 4363, 5279, 5564, 5740, 8560, 8879, 8912, 9536, 10400, 10826, 27122, 27315, 51196, 54361, 55711, 60481, 79071, 79644, 80157, 81849, 84002, 92086, 129642, 137964, 171546, 31, 337, 338, 345, 552, 650, 1040, 1109, 1543, 1586, 1595, 2194, 2246, 2539, 2679, 3158, 3283, 3291, 3295, 3491, 3638, 3930, 3949, 4048, 5091, 5288, 5565, 5580, 5742, 5743, 7368, 8128, 8398, 8611, 8613, 9415, 9791, 9926, 10170, 10555, 11161, 11343, 22937, 23175, 23541, 23761, 27235, 51046, 51141, 53630, 54995, 55224, 55294, 55304, 55750, 56994, 57678, 64174, 79152, 81490, 84869, 116285, 158833, 197322, 340485, 32, 241, 335, 551, 1080, 1119, 1389, 1582, 1588, 1717, 1718, 2170, 2180, 2222, 2232, 2516, 3157, 3172, 3284, 3293, 3294, 3356, 3358, 3458, 3612, 3630, 3952, 4047, 5105, 5130, 5155, 5291, 5296, 5329, 5336, 5447, 5563, 5587, 5730, 5833, 6307, 6309, 6489, 6576, 6615, 6785, 6794, 6916, 6927, 7108, 8309, 8760, 8869, 9091, 9514, 9524, 9619, 9663, 9965, 9971, 10062, 10280, 10390, 10449, 10654, 10715, 11001, 11019, 23127, 23417, 23556, 23590, 27339, 29956, 51099, 51102, 51170, 51227, 51477, 51478, 51495, 54187, 55331, 55361, 55902, 56894, 56895, 57140, 57171, 58526, 65258, 79603, 79966, 79993, 80142, 80339, 81537, 83401, 84188, 91227, 93517, 128486, 142891, 151742, 158835, 201562, 204219, 220832, 256987, 346606, 401494, 729920
Gene Ontology Biological Process	GO:0006631	fatty acid metabolic process	1.0650796561294e-06	0.00107652926243279	0.646557515579716	1.90895794678932	enriched	282	153	133538.031914894	5321, 84909, 51422, 9444, 8660, 6850, 1906, 1907, 4258, 2181, 3667, 8399, 2693, 3990, 4644, 5468, 301, 857, 1374, 7054, 8644, 9261, 10455, 54898, 183, 207, 1646, 1962, 3988, 4363, 5564, 5740, 8560, 9536, 10826, 10891, 11283, 60481, 65985, 79071, 92086, 134526, 137964, 31, 208, 337, 345, 552, 1384, 2194, 2679, 3248, 3295, 3638, 4048, 5096, 5565, 5577, 5742, 5743, 8310, 9415, 10434, 10478, 11343, 22937, 22949, 23175, 23205, 23659, 51141, 54363, 54995, 57678, 64174, 79152, 80221, 84693, 84869, 116285, 142827, 197322, 348158, 641371, 32, 241, 551, 1268, 1573, 1632, 1666, 1891, 2166, 2170, 2180, 2690, 3030, 3172, 3630, 3952, 4051, 4594, 5095, 5447, 5467, 5563, 5730, 5825, 6307, 6309, 6785, 6794, 6916, 6927, 7306, 8309, 8529, 8605, 9524, 9663, 10062, 10449, 10630, 10965, 11001, 11019, 23417, 51084, 51099, 51102, 51179, 51495, 51719, 54677, 54988, 57140, 58526, 79602, 79966, 79993, 80142, 83401, 84188, 91227, 92335, 122970, 123876, 145482, 158835, 201562, 219743, 401494, 653361
Reactome	1430728	Metabolism	2.19379204669402e-06	0.000821940753494691	0.329119714891884	1.38974421870823	enriched	1385	603	141801.916967509	5321, 6482, 10082, 79718, 6256, 23389, 5295, 9394, 51422, 3632, 3708, 9612, 949, 9630, 22901, 1634, 2788, 5209, 7003, 115, 2274, 2776, 5305, 6820, 8821, 9218, 111, 1345, 4082, 4258, 6382, 9060, 9489, 54498, 55512, 154141, 316, 771, 2172, 2181, 3037, 5166, 5297, 5578, 7386, 8399, 8871, 8942, 9955, 11145, 50515, 51363, 55501, 253782, 191, 272, 622, 776, 801, 2752, 3747, 3990, 5256, 5468, 5687, 5836, 6483, 7357, 7358, 7365, 8714, 9167, 9429, 23236, 23498, 27087, 29968, 51582, 79888, 259230, 266722, 132, 152, 412, 775, 857, 1374, 2820, 2990, 3707, 4144, 4942, 5315, 5575, 6385, 6484, 6513, 6718, 6720, 6907, 7054, 7296, 8644, 8801, 9261, 9957, 10090, 10498, 10560, 11163, 22856, 23171, 23309, 54898, 55066, 55191, 64087, 65220, 80205, 84803, 89869, 92126, 93034, 117283, 133522, 253430, 2, 107, 207, 445, 590, 960, 1462, 1528, 1545, 1646, 1728, 2203, 2632, 2683, 2729, 2799, 4143, 4363, 4521, 4729, 4907, 5740, 5834, 5860, 6555, 6817, 7363, 8560, 8879, 9254, 9536, 9871, 9896, 9969, 10861, 10891, 11283, 22978, 23446, 26119, 27249, 51166, 51196, 55711, 60481, 60495, 64768, 79071, 79642, 79644, 79646, 84532, 89874, 115677, 129642, 130013, 137964, 200010, 253017, 283748, 337876, 31, 50, 150, 189, 204, 226, 337, 338, 345, 594, 644, 649, 761, 765, 768, 783, 948, 1109, 1384, 1387, 1464, 1543, 1549, 1586, 1591, 1595, 1734, 1785, 2194, 2235, 2326, 2331, 2581, 2597, 2638, 2782, 2786, 2792, 2936, 2940, 2949, 2950, 3158, 3248, 3283, 3295, 3418, 3613, 3631, 3638, 3745, 3767, 3930, 3949, 4048, 4128, 4257, 4337, 4705, 4731, 4862, 4947, 5096, 5255, 5287, 5288, 5507, 5565, 5577, 5684, 5728, 5742, 5743, 5906, 6095, 6383, 6487, 6554, 6799, 6804, 6818, 6888, 6947, 7179, 7295, 7360, 8029, 8310, 8398, 8611, 8613, 8803, 8898, 9061, 9108, 9282, 9415, 9791, 9861, 9926, 10057, 10135, 10331, 10427, 10434, 10478, 10555, 11046, 11069, 11343, 22949, 23057, 23175, 23198, 23396, 23530, 27010, 27063, 27109, 27235, 29079, 29796, 29841, 51070, 51074, 51129, 51141, 51380, 54363, 55224, 55304, 55576, 55697, 56261, 56548, 56603, 56624, 56994, 57678, 60490, 64174, 64711, 64781, 64802, 80704, 81490, 81894, 83549, 84693, 113026, 113278, 116285, 151531, 200576, 340485, 348158, 389434, 19, 32, 108, 112, 114, 123, 126, 178, 223, 241, 292, 293, 335, 358, 406, 411, 414, 438, 471, 509, 539, 586, 587, 760, 762, 763, 883, 1119, 1160, 1352, 1371, 1490, 1503, 1573, 1582, 1588, 1592, 1632, 1666, 1717, 1718, 1836, 2108, 2131, 2180, 2222, 2232, 2538, 2584, 2593, 2643, 2730, 2806, 2817, 2877, 2939, 2998, 3030, 3039, 3073, 3081, 3141, 3155, 3157, 3162, 3284, 3293, 3339, 3419, 3612, 3630, 3705, 3709, 3712, 3991, 4036, 4047, 4051, 4060, 4191, 4338, 4507, 4524, 4548, 4594, 4704, 4724, 4726, 4802, 4837, 4967, 5095, 5105, 5130, 5165, 5167, 5214, 5243, 5244, 5257, 5291, 5296, 5332, 5336, 5500, 5515, 5519, 5563, 5587, 5646, 5682, 5683, 5701, 5707, 5713, 5718, 5723, 5730, 5833, 5901, 5903, 6005, 6307, 6309, 6515, 6528, 6538, 6539, 6573, 6576, 6616, 6785, 6794, 6821, 6916, 7005, 7108, 7252, 7385, 7389, 8050, 8309, 8395, 8424, 8509, 8529, 8534, 8566, 8605, 8648, 8760, 8908, 8972, 9123, 9331, 9334, 9377, 9380, 9435, 9441, 9442, 9469, 9495, 9514, 9524, 9562, 9572, 9611, 9619, 9651, 9663, 9672, 9953, 9968, 10165, 10243, 10390, 10411, 10484, 10499, 10654, 10681, 10715, 10825, 11001, 11164, 11165, 11181, 11285, 22934, 23225, 23417, 23533, 23590, 25874, 26035, 26289, 26330, 27034, 29956, 30833, 51099, 51251, 51312, 51477, 51586, 51660, 51750, 51764, 53343, 54578, 54677, 54797, 54988, 55090, 55229, 55270, 55331, 55361, 55454, 55788, 55790, 55902, 55967, 56894, 56895, 57834, 58472, 58478, 60496, 64241, 64816, 79023, 79603, 79873, 79887, 79993, 80339, 81537, 83401, 84188, 84246, 90390, 123745, 123876, 126792, 126969, 129401, 137872, 151056, 151742, 169355, 196883, 200895, 204219, 221357, 285362, 378884, 728294
Gene Ontology Biological Process	GO:0009888	tissue development	4.13950705044928e-06	0.00334720540099329	0.323178345687685	1.3815117155929	enriched	1118	585	200243.515205725	2625, 7026, 7227, 3480, 3280, 5321, 10370, 5583, 9314, 463, 595, 27086, 2122, 6256, 7022, 80139, 3169, 6662, 8626, 2309, 7050, 2139, 4488, 4638, 6091, 6840, 10512, 57496, 130497, 4088, 6885, 6926, 8829, 10409, 341640, 1634, 1999, 2099, 2263, 2290, 5241, 6469, 23024, 23254, 55686, 57616, 144165, 2274, 2627, 4781, 5361, 5979, 8313, 9423, 25805, 57619, 84159, 153, 655, 1051, 1906, 2296, 2736, 4092, 4146, 5083, 5144, 5420, 5618, 6660, 7057, 9620, 9759, 10404, 23213, 54880, 56172, 91461, 387755, 367, 694, 858, 1525, 1832, 2066, 2300, 2697, 3607, 4254, 5087, 5154, 8038, 8614, 9923, 23493, 29842, 50515, 56975, 64764, 81029, 150094, 151516, 153090, 596, 622, 653, 659, 686, 999, 1112, 1289, 1290, 1301, 1848, 2321, 2693, 2932, 3488, 3624, 3670, 4644, 5027, 5307, 5468, 6422, 7042, 7168, 7357, 7494, 8321, 8324, 10395, 10468, 10529, 10913, 22943, 23236, 23314, 55764, 57154, 57167, 64919, 80274, 285489, 301, 412, 488, 652, 824, 857, 2042, 2069, 2248, 3229, 3479, 3486, 3728, 3909, 4041, 4842, 5530, 5613, 5629, 6498, 6546, 7052, 7422, 7547, 8013, 8456, 8644, 9365, 10371, 10498, 10818, 23242, 23309, 25803, 26298, 51176, 51806, 55553, 55614, 55959, 79068, 116113, 121549, 140628, 147495, 221937, 253430, 182, 183, 207, 220, 224, 360, 646, 658, 947, 960, 1435, 1746, 1827, 1831, 2255, 2261, 2626, 2637, 2683, 3170, 3398, 3688, 3911, 3976, 4205, 4255, 4256, 4440, 4609, 4656, 4729, 4908, 5308, 5660, 5800, 5914, 6299, 6781, 6899, 7048, 7078, 7139, 7380, 7430, 8600, 8646, 8817, 8912, 8915, 9254, 9788, 10626, 23237, 23405, 23654, 30061, 51043, 54101, 54361, 54928, 55083, 55504, 55796, 57493, 59277, 65985, 79191, 80381, 83439, 92737, 121643, 128178, 137964, 145873, 221662, 283149, 186, 208, 351, 429, 552, 649, 650, 651, 657, 768, 783, 825, 1116, 1280, 1382, 1475, 1512, 1756, 1846, 1901, 1908, 1942, 1969, 2001, 2012, 2100, 2132, 2185, 2246, 2280, 2306, 2621, 2709, 2934, 3158, 3175, 3249, 3491, 3569, 3717, 3725, 3726, 3756, 3889, 3891, 3915, 3918, 4000, 4040, 4048, 4054, 4070, 4208, 4664, 4775, 4851, 4853, 4926, 5076, 5453, 5664, 5727, 5728, 5743, 6278, 6495, 6497, 6657, 6664, 6788, 7020, 7045, 7053, 7414, 7474, 7483, 7704, 7840, 8091, 8312, 8538, 8543, 8721, 8828, 9355, 9421, 9734, 9817, 10170, 10521, 10555, 23129, 23462, 25976, 27063, 27101, 29072, 30812, 51301, 51458, 54360, 54910, 57045, 57669, 64412, 64783, 79365, 84678, 85477, 116039, 161882, 92, 249, 324, 347, 491, 760, 836, 1063, 1103, 1311, 1396, 1474, 1482, 1490, 1499, 1508, 1522, 1592, 1638, 1655, 1718, 1755, 1760, 1834, 1843, 1844, 1847, 1893, 1956, 2054, 2118, 2131, 2202, 2254, 2299, 2302, 2304, 2307, 2308, 2487, 2516, 2535, 2548, 2690, 2734, 2817, 3055, 3082, 3091, 3146, 3227, 3339, 3397, 3458, 3484, 3586, 3651, 3713, 3714, 3753, 3849, 3850, 3860, 3913, 3914, 3952, 3975, 4060, 4061, 4154, 4209, 4322, 4435, 4487, 4607, 4618, 4627, 4633, 4665, 4778, 4814, 4824, 4855, 5017, 5155, 5167, 5251, 5310, 5328, 5329, 5340, 5371, 5447, 5460, 5467, 5493, 5515, 5566, 5588, 5595, 5604, 5653, 5744, 5745, 5950, 6398, 6405, 6468, 6615, 6659, 6663, 6772, 6909, 6910, 6911, 6927, 6939, 6943, 7021, 7049, 7104, 7251, 7286, 7408, 7424, 7454, 7471, 7472, 7481, 7482, 7546, 7849, 8195, 8323, 8516, 8521, 8796, 8861, 8945, 9021, 9079, 9139, 9456, 9475, 9562, 9646, 9839, 9965, 10014, 10052, 10116, 10277, 10369, 10631, 10672, 10848, 11019, 22806, 22887, 23581, 23592, 25833, 26281, 27023, 27032, 27231, 27283, 27330, 28514, 43847, 50604, 50674, 51295, 51384, 51450, 51535, 54206, 55589, 55897, 57142, 57158, 57216, 57822, 58495, 59350, 60401, 60485, 60529, 79755, 79923, 83595, 84162, 85366, 85416, 91252, 91807, 93649, 94234, 151449, 157506, 163778, 199834, 221496, 255743, 286077, 401138, 442425
Gene Ontology Biological Process	GO:0032787	monocarboxylic acid metabolic process	5.46442297683077e-06	0.00368211034922114	0.510968519249652	1.66690484282285	enriched	392	205	138296.260204082	5321, 84909, 51422, 9444, 2494, 8660, 6850, 1906, 1907, 4258, 2172, 2181, 3667, 5166, 5581, 8399, 8942, 54704, 2693, 3990, 4644, 5205, 5468, 7358, 8714, 10873, 301, 857, 1374, 3479, 5629, 6718, 7054, 8644, 9261, 10455, 54898, 55066, 64577, 183, 207, 220, 1646, 1962, 3988, 4363, 5564, 5740, 6555, 7363, 8560, 9536, 10826, 10891, 11283, 60481, 65985, 79071, 84532, 92086, 134526, 137964, 31, 189, 208, 337, 345, 552, 1109, 1382, 1384, 1543, 2194, 2679, 3248, 3295, 3418, 3638, 4048, 5091, 5096, 5565, 5577, 5742, 5743, 6554, 7360, 8310, 9415, 10170, 10434, 10478, 11343, 22937, 22949, 23175, 23205, 23659, 51141, 54363, 54995, 56603, 57678, 64174, 79152, 80221, 84693, 84869, 112817, 116285, 142827, 197322, 348158, 641371, 32, 241, 551, 1268, 1573, 1582, 1588, 1592, 1632, 1666, 1891, 2166, 2170, 2180, 2690, 2806, 3030, 3091, 3172, 3630, 3952, 4051, 4594, 4864, 5033, 5095, 5105, 5163, 5165, 5447, 5467, 5563, 5730, 5825, 6307, 6309, 6785, 6794, 6916, 6927, 7306, 8050, 8309, 8529, 8605, 9123, 9380, 9524, 9663, 9965, 9971, 10062, 10449, 10588, 10630, 10965, 11001, 11019, 23417, 25902, 51084, 51099, 51102, 51179, 51495, 51719, 54677, 54988, 55258, 55790, 57140, 58526, 59342, 79602, 79799, 79966, 79993, 80142, 83401, 84188, 91227, 92335, 122970, 123876, 145482, 157506, 158835, 201562, 219743, 401494, 653361
Gene Ontology Molecular Function	GO:0008092	cytoskeletal protein binding	8.38129767405917e-06	0.00239322579389908	0.415897493271463	1.51573048833323	enriched	591	323	177862.240270728	3778, 9223, 4638, 6840, 9231, 51466, 2317, 79789, 440193, 23164, 57619, 79083, 83660, 3983, 4082, 5962, 6382, 23002, 23026, 140469, 87, 288, 636, 2036, 4897, 4983, 5581, 6641, 6904, 23022, 57626, 79658, 81624, 116154, 143872, 667, 776, 999, 1070, 3799, 4644, 5339, 6711, 7168, 7464, 8522, 10395, 10486, 10529, 10808, 23499, 56062, 123624, 824, 832, 1859, 4703, 5074, 6385, 6546, 7145, 7456, 7852, 8165, 8470, 9455, 9645, 10095, 10397, 10426, 10564, 10611, 10788, 11078, 23092, 23224, 23242, 26153, 27295, 56776, 83988, 84448, 84665, 84700, 85462, 221692, 257019, 285753, 81, 816, 2683, 3092, 3688, 3927, 4430, 4649, 4651, 5304, 6249, 7139, 7171, 7430, 9026, 9788, 10565, 10602, 10783, 11155, 22885, 22998, 23139, 23345, 26287, 29116, 50807, 51332, 54212, 64097, 64236, 121512, 152789, 161176, 342184, 27, 120, 226, 287, 302, 357, 825, 830, 1266, 1756, 1773, 1785, 2035, 2037, 2288, 2597, 2638, 2934, 3767, 3936, 4131, 4604, 4645, 5358, 5774, 6277, 6337, 6383, 6804, 7402, 7429, 9499, 9501, 9749, 10123, 10128, 10458, 11034, 11122, 11252, 11346, 23122, 23191, 23281, 23287, 23336, 23406, 23637, 25924, 27063, 51458, 54899, 54961, 55755, 55971, 56904, 57530, 57591, 57669, 57731, 64780, 79929, 79983, 80306, 84033, 84168, 84501, 84722, 84978, 85464, 85477, 134549, 282973, 284076, 375611, 25, 60, 118, 119, 286, 304, 324, 359, 403, 822, 1627, 1636, 1641, 1730, 1739, 1956, 2170, 2258, 2316, 2339, 2764, 3895, 4046, 4133, 4478, 4607, 4627, 4633, 4646, 4892, 5048, 5195, 5357, 5756, 5775, 5829, 6005, 6101, 6616, 6645, 6709, 6710, 6712, 7111, 7125, 7169, 7170, 7287, 7408, 7454, 8936, 9043, 9493, 9639, 9654, 9672, 10018, 10096, 10163, 10487, 10552, 10755, 10810, 10982, 11076, 11344, 11345, 22837, 22919, 22924, 22989, 23012, 23162, 23332, 23500, 23623, 26128, 27072, 29109, 29127, 29766, 50853, 51086, 51088, 51100, 51361, 51474, 51673, 54221, 54434, 54566, 54822, 55607, 55704, 55835, 55930, 56907, 57180, 57553, 57610, 57662, 60312, 64837, 80115, 80206, 83543, 84059, 84251, 84376, 84940, 84951, 85366, 85458, 91147, 92154, 93661, 114791, 116983, 127829, 133746, 171024, 220134, 282991, 374666, 442721
Gene Ontology Biological Process	GO:0007015	actin filament organization	9.19222572628333e-06	0.0053091669444805	0.749240044178367	2.11539180128935	enriched	188	116	181923.138297872	57580, 4088, 51466, 2195, 1236, 4214, 5962, 6387, 408, 4739, 5581, 596, 2693, 6422, 6711, 7168, 8522, 10395, 10529, 832, 5074, 5629, 6385, 7456, 9564, 9645, 10095, 11078, 23189, 27295, 55114, 133522, 81, 4430, 5345, 7430, 10565, 51332, 55604, 226, 357, 830, 1409, 1901, 2185, 2934, 3717, 3936, 4070, 5580, 5584, 5879, 6869, 7429, 8477, 9113, 10458, 11034, 11346, 54509, 54961, 55971, 57731, 64780, 85464, 85477, 134549, 118, 119, 359, 395, 822, 1490, 1627, 1730, 1739, 2041, 2316, 3055, 3984, 5058, 5071, 5588, 5734, 5756, 6709, 6710, 6712, 6863, 7184, 7408, 7454, 7481, 8936, 9353, 9475, 9639, 10096, 10344, 10552, 10810, 11344, 22899, 27289, 29109, 50853, 50944, 51474, 54434, 57180, 57553, 93661, 133746, 154796, 253260, 374666
