Position,E2_0min_1,E2_0min_2,E2_40min_1,E2_40min_2
-1990,0.761979497,0.569315389,1.727331617,1.729664081
-1980,0.764044482,0.569315389,1.745013834,1.735186636
-1970,0.770239437,0.56646406,1.764906329,1.711991907
-1960,0.778499378,0.571216276,1.774852576,1.677752068
-1950,0.788824303,0.575018048,1.768221745,1.64351223
-1940,0.795019258,0.579770263,1.794745071,1.658975383
-1930,0.805344184,0.589274694,1.823478674,1.710887396
-1920,0.803279199,0.601630453,1.845581446,1.74070919
-1910,0.786759318,0.615887099,1.838950614,1.74070919
-1900,0.755784542,0.614936656,1.830109506,1.719723483
-1890,0.724809766,0.608283555,1.81132215,1.700946797
-1880,0.691770004,0.607333112,1.781483408,1.673334025
-1870,0.669055168,0.607333112,1.753854943,1.660079894
-1860,0.654600273,0.618738428,1.727331617,1.671125003
-1850,0.652535287,0.613986213,1.720700785,1.69211071
-1840,0.644275347,0.627292416,1.72512134,1.698737776
-1830,0.646340332,0.630143745,1.74059328,1.703155819
-1820,0.646340332,0.646301277,1.74059328,1.703155819
-1810,0.646340332,0.643449948,1.74059328,1.713096417
-1800,0.631885437,0.643449948,1.741698418,1.725246037
-1790,0.613300571,0.644400391,1.746118973,1.721932505
-1780,0.598845675,0.651053492,1.735067587,1.706469352
-1770,0.58439078,0.655805707,1.728436755,1.684379134
-1760,0.578195824,0.650103049,1.736172725,1.697633265
-1750,0.58852075,0.649152606,1.758275497,1.718618972
-1740,0.609170601,0.660557923,1.778167992,1.766112941
-1730,0.650470302,0.683368556,1.809111872,1.806979845
-1720,0.695899974,0.709030518,1.840055753,1.857787346
-1710,0.741329646,0.727088936,1.878735604,1.868832455
-1700,0.768174452,0.735642924,1.909679484,1.880982075
-1690,0.778499378,0.744196911,1.92846684,1.88650463
-1680,0.774369408,0.739444696,1.94393878,1.904176804
-1670,0.764044482,0.731841152,1.956095305,1.904176804
-1660,0.755784542,0.709980961,1.973777522,1.911908381
-1650,0.753719557,0.702377417,1.9759878,1.924058001
-1640,0.747524601,0.69382343,1.974882661,1.946148219
-1630,0.755784542,0.684318999,1.978198077,1.958297839
-1620,0.757849527,0.671012796,1.985934047,1.957193328
-1610,0.778499378,0.664359695,1.995880294,1.943939197
-1600,0.782629348,0.663409252,1.998090571,1.919639957
-1590,0.786759318,0.667211024,1.992564878,1.889818163
-1580,0.778499378,0.670062353,1.982618631,1.861100879
-1570,0.757849527,0.668161467,1.9759878,1.839010661
-1560,0.726874751,0.652954378,1.979303215,1.840115172
-1550,0.681445079,0.63489596,1.970462107,1.846742237
-1540,0.631885437,0.615887099,1.952779889,1.836801639
-1530,0.594715705,0.592126023,1.953885028,1.812502399
-1520,0.572000869,0.576918934,1.971567245,1.785994137
-1510,0.553416003,0.563612731,1.980408354,1.782680605
-1500,0.532766152,0.564563174,1.967146691,1.784889626
-1490,0.512116302,0.558860516,1.966041552,1.799248268
-1480,0.507986331,0.565513617,1.984828908,1.823547508
-1470,0.505921346,0.577869377,2.00693168,1.855578324
-1460,0.503856361,0.589274694,2.024613897,1.87435501
-1450,0.495596421,0.60068001,2.036770422,1.884295608
-1440,0.493531436,0.615887099,2.059978332,1.896445228
-1430,0.497661406,0.633945517,2.098658183,1.943939197
-1420,0.503856361,0.655805707,2.166071637,2.012418873
-1410,0.512116302,0.66911191,2.231274814,2.083107571
-1400,0.526571197,0.685269442,2.26553411,2.089734637
-1390,0.553416003,0.692872986,2.296477991,2.095257191
-1380,0.598845675,0.701426974,2.346209227,2.131706051
-1370,0.644275347,0.714733177,2.405886711,2.221171435
-1360,0.681445079,0.72518805,2.447881978,2.306218775
-1350,0.71448484,0.733742038,2.464459056,2.353712744
-1340,0.751654572,0.739444696,2.502033769,2.386848071
-1330,0.788824303,0.746097797,2.534082788,2.404520245
-1320,0.797084244,0.752750899,2.580498608,2.415565355
-1310,0.778499378,0.748949127,2.583814024,2.428819485
-1300,0.759914512,0.747048241,2.568342084,2.44649166
-1290,0.751654572,0.728039379,2.537398203,2.475208944
-1280,0.757849527,0.712832291,2.506454323,2.48294052
-1270,0.759914512,0.689071214,2.482141274,2.461954813
-1260,0.770239437,0.677665898,2.441251146,2.4100428
-1250,0.790889288,0.673864125,2.41472782,2.360339809
-1240,0.805344184,0.674814568,2.423568929,2.348190189
-1230,0.811539139,0.683368556,2.457828225,2.363653342
-1220,0.809474154,0.692872986,2.479930997,2.376907473
-1210,0.81979908,0.697625202,2.468879611,2.360339809
-1200,0.821864065,0.696674759,2.456723086,2.341563124
-1190,0.817734094,0.694773873,2.471089888,2.321681927
-1180,0.797084244,0.692872986,2.476615581,2.309532307
-1170,0.790889288,0.690021657,2.461143641,2.298487198
-1160,0.786759318,0.676715455,2.435725453,2.280815024
-1150,0.795019258,0.676715455,2.451197393,2.292964644
-1140,0.803279199,0.686219885,2.498718353,2.320577417
-1130,0.825994035,0.710931404,2.577183193,2.386848071
-1120,0.850773856,0.73754381,2.653437755,2.44649166
-1110,0.863163766,0.751800456,2.713115239,2.496194651
-1100,0.871423707,0.751800456,2.747374536,2.533748022
-1090,0.873488692,0.743246468,2.754005367,2.566883349
-1080,0.887943587,0.741345582,2.739638565,2.605541231
-1070,0.904463468,0.740395139,2.719746071,2.629840471
-1060,0.910658423,0.744196911,2.721956348,2.656348732
-1050,0.912723408,0.754651785,2.752900229,2.69058857
-1040,0.916853379,0.768908431,2.805946881,2.75133667
-1030,0.939568215,0.786016406,2.876675751,2.819816347
-1020,0.972607976,0.814529697,2.963981699,2.883877979
-1010,0.995322812,0.84019166,3.061233895,2.937999014
-1000,1.015972663,0.865853622,3.143014151,3.00647869
-990,1.018037648,0.87440761,3.211532744,3.052868148
-980,1.005647737,0.884862483,3.232530377,3.084898964
-970,0.974672961,0.892466028,3.214848159,3.087107986
-960,0.947828155,0.886763369,3.177273447,3.083794454
-950,0.9416332,0.893416471,3.160696368,3.099257606
-940,0.920983349,0.891515585,3.177273447,3.109198204
-930,0.900333498,0.900069572,3.210427605,3.148960597
-920,0.885878602,0.901020015,3.257948564,3.203081632
-910,0.900333498,0.909574003,3.295523276,3.259411688
-900,0.920983349,0.919078433,3.315415771,3.271561308
-890,0.933373259,0.917177547,3.307679801,3.262725221
-880,0.95815308,0.921929763,3.306574662,3.272665819
-870,0.999452782,0.943789953,3.32425688,3.32236881
-860,1.044882454,0.98655989,3.386144641,3.401893595
-850,1.094442096,1.038834258,3.465714619,3.502404087
-840,1.148131708,1.093009512,3.564071954,3.6150642
-830,1.216276216,1.136729893,3.633695685,3.693484474
-820,1.280290754,1.154788311,3.69226803,3.719992736
-810,1.31126553,1.143382994,3.729842742,3.713365671
-800,1.30713556,1.130076791,3.751945514,3.697902518
-790,1.274095799,1.115820146,3.782889395,3.689066431
-780,1.253445948,1.112968816,3.817148691,3.703425073
-770,1.253445948,1.122473247,3.874615898,3.713365671
-760,1.249315978,1.137680336,3.895613531,3.713365671
-750,1.230731112,1.147184766,3.901139224,3.701216051
-740,1.210081261,1.154788311,3.947555045,3.747605509
-730,1.201821321,1.172846729,4.012758222,3.796203989
-720,1.199756336,1.208013122,4.089012784,3.832652849
-710,1.191496395,1.218467995,4.104484725,3.827130294
-700,1.205951291,1.206112236,4.10780014,3.810562631
-690,1.216276216,1.171896286,4.095643616,3.768591216
-680,1.230731112,1.144333437,4.079066537,3.705634094
-670,1.222471171,1.139581222,4.08459223,3.683543876
-660,1.236926067,1.151936982,4.111115556,3.711156649
-650,1.265835858,1.183301602,4.164162208,3.764173173
-640,1.321590456,1.21371578,4.240416771,3.811667142
-630,1.385604993,1.240328186,4.301199394,3.863579154
-620,1.437229621,1.249832616,4.348720353,3.893400949
-610,1.451684516,1.240328186,4.35093063,3.911073123
-600,1.441359591,1.223220211,4.342089521,3.89450546
-590,1.418644755,1.211814894,4.315566195,3.860265621
-580,1.383540008,1.193756476,4.252573296,3.792890456
-570,1.346370277,1.162391855,4.18626498,3.719992736
-560,1.284420724,1.103464386,4.102274447,3.636049907
-550,1.220406186,1.058793562,4.044807241,3.589660449
-540,1.133676813,1.019825397,3.997286281,3.547689035
-530,1.077922215,1.000816536,3.99065545,3.571988275
-520,1.057272365,0.979906789,4.009442806,3.600705558
-510,1.044882454,0.959947485,4.035966132,3.600705558
-500,1.011842693,0.944740396,4.045912379,3.605123602
-490,0.962283051,0.927632421,4.054753488,3.594078493
-480,0.918918364,0.912425332,4.059174042,3.626109309
-470,0.887943587,0.907673117,4.06912029,3.633840885
-460,0.871423707,0.915276661,4.091223061,3.636049907
-450,0.873488692,0.939988181,4.133218328,3.631631864
-440,0.875553677,0.954244826,4.198421505,3.645990505
-430,0.873488692,0.958997042,4.251468157,3.696798007
