Position,E2_0min_1,E2_0min_2,E2_40min_1,E2_40min_2
-1990,0.905587165,0.845544718,0.977548328,0.955853066
-1980,0.905518549,0.845821061,0.978971318,0.957522983
-1970,0.905672936,0.846113194,0.980008724,0.958146908
-1960,0.904231984,0.846950117,0.980173974,0.960248067
-1950,0.90217348,0.846934326,0.980394308,0.959578265
-1940,0.899891972,0.846436909,0.980752351,0.960330645
-1930,0.898674024,0.844676213,0.981101213,0.95933053
-1920,0.899257267,0.843578739,0.981193019,0.958679079
-1910,0.8989828,0.842212818,0.981119574,0.956724726
-1900,0.900389444,0.841439059,0.981294005,0.955284193
-1890,0.902139172,0.841904893,0.981936646,0.954550164
-1880,0.904883843,0.843357665,0.982129438,0.953228911
-1870,0.905655782,0.8446999,0.982303869,0.951770027
-1860,0.905364161,0.8464527,0.981468436,0.950109286
-1850,0.904832381,0.847826517,0.982404856,0.950228566
-1840,0.906444875,0.849958302,0.983974735,0.951614046
-1830,0.909343934,0.850542569,0.986517756,0.954100571
-1820,0.913478096,0.850708374,0.987472537,0.954394182
-1810,0.917972495,0.852982278,0.990456226,0.956706375
-1800,0.920339774,0.852690144,0.991052963,0.955816364
-1790,0.922466894,0.853748141,0.992062827,0.957247722
-1780,0.923221679,0.85285595,0.990290975,0.955898943
-1770,0.924679786,0.854695601,0.990740824,0.958211135
-1760,0.925040024,0.856314178,0.992273981,0.960890342
-1750,0.925040024,0.857395861,0.993963208,0.964239352
-1740,0.924868482,0.859140766,0.995138322,0.967937025
-1730,0.92661821,0.860088226,0.995523907,0.97168975
-1720,0.929585886,0.861130432,0.996643938,0.976506818
-1710,0.932570716,0.861564684,0.997874136,0.979342006
-1700,0.934200364,0.862433189,0.999425654,0.980791714
-1690,0.936670569,0.86387017,1.00078438,0.980736662
-1680,0.939724016,0.866388834,1.00220737,0.981406464
-1670,0.942434379,0.869318064,1.002390982,0.981443165
-1660,0.944801658,0.872736815,1.002152287,0.982535034
-1650,0.949673449,0.875231792,1.002455246,0.984250828
-1640,0.954167849,0.878311037,1.003327401,0.988260463
-1630,0.95670667,0.880300702,1.004539238,0.990728637
-1620,0.956432203,0.882053503,1.005126795,0.992508658
-1610,0.956363586,0.882377218,1.006182562,0.991948961
-1600,0.957392838,0.882511442,1.007623913,0.991710401
-1590,0.958525015,0.883150977,1.009680363,0.991572771
-1580,0.958971024,0.884082646,1.01088302,0.991343387
-1570,0.958576477,0.885614373,1.011387952,0.990985547
-1560,0.959073949,0.887580352,1.012067315,0.99093967
-1550,0.96054921,0.890264821,1.014812309,0.992270099
-1540,0.962110242,0.892641366,1.018456999,0.994389609
-1530,0.961715695,0.895396895,1.022542358,0.996564171
-1520,0.960240434,0.897268128,1.026150327,0.999426885
-1510,0.960188972,0.899628882,1.030593728,1.003776009
-1500,0.960291897,0.901618548,1.035569604,1.008758234
-1490,0.959794425,0.904626733,1.039251017,1.012244873
-1480,0.958593631,0.907895469,1.041849121,1.013318391
-1470,0.960309051,0.911432652,1.043804585,1.014254279
-1460,0.965746931,0.914709284,1.047063692,1.016419666
-1450,0.971802362,0.917764842,1.04987295,1.019667746
-1440,0.97559344,0.92073355,1.051442829,1.022090043
-1430,0.978029335,0.924002286,1.052030386,1.023805836
-1420,0.981322941,0.927342082,1.053242223,1.025539981
-1410,0.987704302,0.931866202,1.058934184,1.030549731
-1400,0.991855618,0.933792704,1.063157251,1.033751934
-1390,0.996401479,0.936200831,1.067536389,1.039486539
-1380,1.001101729,0.937590439,1.069317422,1.043404421
-1370,1.008580959,0.939714328,1.073641475,1.049735424
-1360,1.014053147,0.940598624,1.077460597,1.052680717
-1350,1.016677739,0.940251222,1.080646259,1.054717649
-1340,1.020160041,0.940330177,1.083005669,1.055919622
-1330,1.025031833,0.941498711,1.087054305,1.059066773
-1320,1.030658409,0.943875256,1.091965916,1.063645281
-1310,1.03491265,0.946291278,1.098144448,1.068333894
-1300,1.038772344,0.949141553,1.10417609,1.072068268
-1290,1.04280358,0.952307648,1.110161829,1.077169773
-1280,1.047795451,0.956539635,1.115688539,1.083032832
-1270,1.055446222,0.961340098,1.121472306,1.090024462
-1260,1.062359363,0.966464277,1.126898029,1.095236071
-1250,1.071073695,0.973862359,1.132773601,1.100677064
-1240,1.078072607,0.980431413,1.138777702,1.105035363
-1230,1.08429958,0.984987116,1.142936505,1.107549414
-1220,1.088982676,0.988350598,1.146452668,1.109292734
-1210,1.092104739,0.992393093,1.14711367,1.110733266
-1200,1.098263096,0.998606851,1.149087495,1.114430939
-1190,1.102723187,1.003644179,1.15121739,1.117734071
-1180,1.108710001,1.009036804,1.155559805,1.122908979
-1170,1.114748278,1.013710939,1.16037043,1.12756089
-1160,1.121455569,1.018250851,1.165236138,1.132368782
-1150,1.126618982,1.022419674,1.169339858,1.135837071
-1140,1.12922642,1.026580602,1.173177341,1.139314535
-1130,1.132880264,1.032146928,1.178832579,1.143617783
-1120,1.136036636,1.036671049,1.185919988,1.148847742
-1110,1.138283835,1.039244981,1.193383801,1.154242858
-1100,1.139450321,1.039821352,1.199635777,1.159821481
-1090,1.139913484,1.039094967,1.204033276,1.164078852
-1080,1.14288116,1.039047594,1.207127132,1.168207767
