Distance from Cente,E2_0min,E2_10min,E2_40min,E2_0min_Up,E2_10min_Up,E2_40min_Up
-2000,0.928665977,0.990901339,1.043406328,0.793491946,1.224551464,1.896468192
-1990,0.930628683,0.994039112,1.045962079,0.794692833,1.25427762,1.918859806
-1980,0.932792097,0.995419204,1.044911383,0.808611292,1.279357885,1.93688568
-1970,0.933897465,0.995107692,1.047411599,0.811489119,1.267308782,1.944603073
-1960,0.934586627,0.995551675,1.047336022,0.800453864,1.226062323,1.924641715
-1950,0.934500735,0.997396831,1.047398768,0.790608743,1.208196412,1.903078811
-1940,0.935012434,0.995950976,1.04795801,0.768040673,1.218168083,1.936459054
-1930,0.934622095,0.997012004,1.04787847,0.743790286,1.208007554,1.941573087
-1920,0.933736459,0.994392473,1.049189417,0.729623048,1.155240793,1.932600358
-1910,0.932954427,0.994292412,1.048633672,0.72337521,1.161624174,1.971428571
-1900,0.932768494,0.996462611,1.052030399,0.6964904,1.175561851,1.983326327
-1890,0.93158269,0.995618382,1.051818055,0.689766509,1.19720491,1.952963799
-1880,0.934188492,0.999761174,1.053958496,0.690967396,1.160075543,1.934338194
-1870,0.937009521,1.00317333,1.055247346,0.692882363,1.141340888,1.909250532
-1860,0.935452569,1.005212945,1.054083216,0.679683361,1.158489141,1.909423637
-1850,0.936057183,1.006094303,1.054783246,0.672001986,1.14217186,1.862958447
-1840,0.937833866,1.009385315,1.055614853,0.660236521,1.159017941,1.867577708
-1830,0.936809305,1.014312865,1.056229063,0.661664682,1.158338055,1.856174724
-1820,0.939014988,1.018434889,1.061612262,0.681095393,1.140283286,1.857776269
-1810,0.94327823,1.020333538,1.063814201,0.683259139,1.100207743,1.816851738
-1800,0.94543173,1.022046853,1.06495041,0.669816734,1.072407932,1.820790851
-1790,0.948511286,1.024367143,1.065924087,0.672937964,1.086345609,1.821631832
-1780,0.951540731,1.025252592,1.070313659,0.66621945,1.08203966,1.821297894
-1770,0.955124323,1.030931546,1.073615392,0.682539683,1.147497639,1.854090678
-1760,0.957793072,1.034558298,1.076021443,0.683978596,1.177261568,1.887804859
-1750,0.960814362,1.035424238,1.079507032,0.698865291,1.172577904,1.905762588
-1740,0.964447168,1.036050094,1.08105628,0.712313073,1.143002833,1.91441365
-1730,0.966673217,1.040189424,1.081777588,0.738711077,1.138356941,1.901260558
-1720,0.970062049,1.037552587,1.08028617,0.757184304,1.199546742,1.915866634
-1710,0.971201753,1.036841145,1.081970959,0.775202983,1.277053824,1.934572656
-1700,0.971495971,1.037470147,1.080400161,0.793924989,1.294579792,1.999144136
-1690,0.974603243,1.038735388,1.083059502,0.776641896,1.288725212,2.007356301
-1680,0.97660294,1.036727868,1.083160207,0.774726929,1.269839471,1.986312711
-1670,0.979354075,1.038211482,1.087434232,0.780974766,1.290273843,2.084010914
-1660,0.984151186,1.041447114,1.090724475,0.788656141,1.314183192,2.087121317
-1650,0.985116318,1.040101635,1.092211181,0.811705641,1.359055713,2.165457892
-1640,0.98722709,1.038310914,1.09409847,0.814826871,1.333824363,2.228025744
-1630,0.992274168,1.047210082,1.100409291,0.805711959,1.276222852,2.240442814
-1620,0.992739275,1.048902314,1.104110574,0.794676704,1.276373938,2.237356954
-1610,0.995330837,1.047057158,1.101968941,0.804527202,1.354938621,2.251963029
-1600,0.997117647,1.047641793,1.101338494,0.799004197,1.331067044,2.242656362
-1590,0.997146943,1.043749154,1.098584296,0.815086403,1.314711992,2.180181199
-1580,0.998820381,1.044157896,1.097421347,0.819403144,1.303002833,2.128775081
-1570,0.998881224,1.045356115,1.098264843,0.798522767,1.271237016,2.12734664
-1560,1.001278072,1.047844433,1.099781696,0.79204228,1.286534466,2.095487526
-1550,0.999950957,1.048861409,1.102637314,0.77211401,1.270897073,2.067301732
-1540,1.00150038,1.050975598,1.103441353,0.74715492,1.257677054,2.060425321
-1530,1.001869086,1.057724391,1.109987489,0.73011523,1.22829084,2.043574366
-1520,1.002253207,1.064327182,1.117066706,0.701066673,1.181529745,2.05934309
-1510,1.007078437,1.07451047,1.124822777,0.704420554,1.226213409,2.086261276
-1500,1.010897175,1.080606032,1.130830326,0.702024157,1.218130312,2.099253535
-1490,1.014807396,1.086757603,1.13661899,0.709943558,1.256657224,2.156441561
-1480,1.017281116,1.090092982,1.141710191,0.724814124,1.327932011,2.267639065
-1470,1.018082351,1.093998836,1.143414295,0.727448548,1.365212465,2.290537721
-1460,1.020309845,1.098326647,1.146270526,0.710170832,1.407629839,2.32256994
-1450,1.022595023,1.099594405,1.144953233,0.696733803,1.416241737,2.311408206
-1440,1.025158019,1.101546231,1.14714987,0.692406309,1.496203966,2.367687106
-1430,1.027402765,1.105054672,1.148775364,0.702246054,1.565779037,2.405272255
-1420,1.03208227,1.107891317,1.151515585,0.709916676,1.617374882,2.471111343
-1410,1.036017987,1.109096459,1.153596619,0.754555256,1.669121813,2.586928108
-1400,1.039756603,1.108922138,1.155786909,0.762961464,1.680151086,2.547617394
-1390,1.043708139,1.110959236,1.159328442,0.761755201,1.635996223,2.515838697
-1380,1.048030542,1.11453816,1.163495257,0.776398493,1.692917847,2.54921894
-1370,1.052922507,1.121010683,1.169983485,0.789840898,1.762190746,2.628971684
-1360,1.057324719,1.117552587,1.170395434,0.800897659,1.807365439,2.660175194
-1350,1.061114162,1.115820708,1.171710753,0.810975431,1.749423985,2.665221081
-1340,1.064653816,1.112016488,1.172843249,0.824417836,1.681699717,2.671856242
-1330,1.068833149,1.111326757,1.175246041,0.835712624,1.60434372,2.604279318
-1320,1.072795373,1.111693649,1.17936989,0.854667281,1.521133144,2.559854571
-1310,1.074734687,1.114745835,1.182120829,0.849858357,1.502058546,2.571603765
-1300,1.078383983,1.117874483,1.182737708,0.856328092,1.50394712,2.568159424
-1290,1.082319342,1.119786032,1.188116774,0.879139565,1.492766761,2.583433376
-1280,1.088243767,1.123833483,1.198309282,0.878912291,1.443663834,2.579011762
-1270,1.094775876,1.128156889,1.203079134,0.877949431,1.40891407,2.533733763
-1260,1.100580341,1.138348358,1.210118621,0.893777481,1.445174693,2.539274422
-1250,1.107058745,1.147301647,1.21677927,0.910573767,1.479697828,2.564257125
-1240,1.113391265,1.152602382,1.22285698,0.896655308,1.457714825,2.580440203
-1230,1.118447183,1.158740737,1.231451336,0.890661627,1.459603399,2.646038041
-1220,1.12005365,1.161516653,1.23584873,0.878420108,1.459225685,2.659895824
-1210,1.123535813,1.166191533,1.241169479,0.851297271,1.431728045,2.646143001
-1200,1.129054989,1.164281242,1.24318905,0.859454699,1.42727101,2.653192517
-1190,1.133772022,1.169400418,1.244004614,0.860893612,1.442379603,2.703757653
-1180,1.137824462,1.176019572,1.248455785,0.839769832,1.492766761,2.762800747
-1170,1.14205031,1.178542502,1.253087825,0.834728258,1.451860246,2.741169698
-1160,1.147638024,1.183625808,1.255703008,0.842404257,1.530387158,2.732277385
-1150,1.15351365,1.184546184,1.256867899,0.863051983,1.556487252,2.730595423
-1140,1.15677058,1.187699375,1.258070863,0.869045664,1.595014164,2.770264618
-1130,1.163003552,1.196407231,1.264469866,0.877917173,1.581076487,2.827879271
