Distance from Center (cmd=annotatePeaks.pl GSE45822/up_hg19.bed hg19 -size 4000 -hist 10 -d GSE45822/E2_Rep1_tags GSE45822/E2_Rep2_tags GSE45822/Veh_Rep1_tags GSE45822/Veh_Rep2_tags -pc 1),E2_average,Veh_average,E2_average_Up,Veh_average_Up
-2000,0.933163726,0.903438285,1.254138071,0.606025041
-1990,0.931512957,0.903293027,1.2677866,0.63390245
-1980,0.930048908,0.902616695,1.276065812,0.636192224
-1970,0.930201235,0.900983982,1.30203966,0.646998782
-1960,0.929650845,0.899931894,1.31928383,0.648618356
-1950,0.928736049,0.899270658,1.333764914,0.643117322
-1940,0.928029986,0.898627541,1.339663127,0.663836839
-1930,0.929058936,0.89988357,1.329541858,0.677566088
-1920,0.929563441,0.898939494,1.34549296,0.67320994
-1910,0.931369531,0.89843366,1.362511897,0.651978453
-1900,0.930915713,0.899718801,1.388123753,0.651596824
-1890,0.93134387,0.900581037,1.38083395,0.655506172
-1880,0.931965572,0.903085278,1.385282239,0.657861116
-1870,0.930731636,0.9043115,1.378698279,0.664441868
-1860,0.931004923,0.90660328,1.36827335,0.657228199
-1850,0.930872236,0.907759821,1.38783014,0.632915792
-1840,0.931438935,0.908039103,1.378776706,0.62318895
-1830,0.931013989,0.912087791,1.378619852,0.628783044
-1820,0.931603924,0.912744998,1.373328961,0.652080905
-1810,0.932179022,0.913658571,1.347795532,0.653160622
-1800,0.934170894,0.913583237,1.333686487,0.660728031
-1790,0.933818899,0.914423483,1.327856654,0.66476772
-1780,0.935135423,0.915341776,1.329238198,0.687367494
-1770,0.93602879,0.916061392,1.328944585,0.677324194
-1760,0.937088252,0.915649634,1.352547482,0.669598556
-1750,0.936894439,0.916536026,1.287988948,0.687144094
-1740,0.937139122,0.917067416,1.271126865,0.669216927
-1730,0.936841159,0.91897268,1.27627095,0.655804136
-1720,0.938283846,0.918882325,1.280787619,0.67474585
-1710,0.939239727,0.918450514,1.285921657,0.661938088
-1700,0.939758668,0.918375797,1.272812068,0.645090637
-1690,0.939923239,0.918090865,1.264062295,0.652527705
-1680,0.941550053,0.917603462,1.261769771,0.648711415
-1670,0.942350193,0.916552307,1.242830349,0.640604148
-1660,0.943163767,0.917069682,1.268353731,0.648488015
-1650,0.944314765,0.916140243,1.245112826,0.642605352
-1640,0.945218069,0.918150414,1.225487657,0.619847348
-1630,0.945230063,0.9209869,1.21797262,0.607132645
-1620,0.946473066,0.922246648,1.23131749,0.613108368
-1610,0.948277633,0.92199958,1.224419822,0.609962277
-1600,0.949094151,0.924779,1.204030478,0.601315152
-1590,0.95067426,0.927908551,1.208478767,0.598578579
-1580,0.953027678,0.931698089,1.216062183,0.598671638
