CellTye,Condition,Fold,Rep,Gene
MCF7,OE,0.985094022,1,TFF1
MCF7,delta,0.934111496,1,TFF1
MCF7,EV,1,1,TFF1
T47D,OE,0.810377861,1,TFF1
T47D,delta,1.021012126,1,TFF1
T47D,EV,1,1,TFF1
ZR75,OE,0.589133569,1,TFF1
ZR75,delta,0.581022793,1,TFF1
ZR75,EV,1,1,TFF1
MCF7,OE,0.650670928,1,XPB1
MCF7,delta,1.236846673,1,XPB1
MCF7,EV,1,1,XPB1
T47D,OE,0.601512518,1,XPB1
T47D,delta,0.573023681,1,XPB1
T47D,EV,1,1,XPB1
ZR75,OE,0.612734221,1,XPB1
ZR75,delta,0.788218036,1,XPB1
ZR75,EV,1,1,XPB1
MCF7,OE,0.540862333,1,GREB1
MCF7,delta,0.804780172,1,GREB1
MCF7,EV,1,1,GREB1
T47D,OE,0.559935802,1,GREB1
T47D,delta,0.583039958,1,GREB1
T47D,EV,1,1,GREB1
ZR75,OE,0.320115994,1,GREB1
ZR75,delta,0.562529242,1,GREB1
ZR75,EV,1,1,GREB1
MCF7,OE,0.933032992,2,TFF1
MCF7,delta,1.208597056,2,TFF1
MCF7,EV,1,2,TFF1
T47D,OE,1.334839854,2,TFF1
T47D,delta,1.2397077,2,TFF1
T47D,EV,1,2,TFF1
ZR75,OE,0.833160684,2,TFF1
ZR75,delta,0.941696017,2,TFF1
ZR75,EV,1,2,TFF1
MCF7,OE,1.00695555,2,XPB1
MCF7,delta,0.79922115,2,XPB1
MCF7,EV,1,2,XPB1
T47D,OE,0.673616788,2,XPB1
T47D,delta,0.880665874,2,XPB1
T47D,EV,1,2,XPB1
ZR75,OE,0.650670928,2,XPB1
ZR75,delta,0.892959511,2,XPB1
ZR75,EV,1,2,XPB1
MCF7,OE,1.178267139,2,GREB1
MCF7,delta,1.515716567,2,GREB1
MCF7,EV,1,2,GREB1
T47D,OE,0.410845157,2,GREB1
T47D,delta,0.808507652,2,GREB1
T47D,EV,1,2,GREB1
ZR75,OE,0.23981603,2,GREB1
ZR75,delta,0.611320139,2,GREB1
ZR75,EV,1,2,GREB1
MCF7,OE,1.319507911,3,TFF1
MCF7,delta,1.101905116,3,TFF1
MCF7,EV,1,3,TFF1
T47D,OE,0.957050307,3,TFF1
T47D,delta,1.440596862,3,TFF1
T47D,EV,1,3,TFF1
ZR75,OE,0.950439478,3,TFF1
ZR75,delta,1.236846673,3,TFF1
ZR75,EV,1,3,TFF1
MCF7,OE,0.735433432,3,XPB1
MCF7,delta,0.675174973,3,XPB1
MCF7,EV,1,3,XPB1
T47D,OE,0.578344092,3,XPB1
T47D,delta,0.791868805,3,XPB1
T47D,EV,1,3,XPB1
ZR75,OE,0.708742434,3,XPB1
ZR75,delta,0.791868805,3,XPB1
ZR75,EV,1,3,XPB1
MCF7,OE,0.482968164,3,GREB1
MCF7,delta,0.926588062,3,GREB1
MCF7,EV,1,3,GREB1
T47D,OE,0.18470993,3,GREB1
T47D,delta,0.77916458,3,GREB1
T47D,EV,1,3,GREB1
ZR75,OE,1.023373892,3,GREB1
ZR75,delta,0.808507652,3,GREB1
ZR75,EV,1,3,GREB1
MCF7,OE,0.868541486,4,TFF1
MCF7,delta,0.878633452,4,TFF1
MCF7,EV,1,4,TFF1
T47D,OE,0.725308503,4,TFF1
T47D,delta,1.040059934,4,TFF1
T47D,EV,1,4,TFF1
ZR75,OE,0.817902059,4,TFF1
ZR75,delta,0.848703971,4,TFF1
ZR75,EV,1,4,TFF1
MCF7,OE,0.870550563,4,XPB1
MCF7,delta,1.125058485,4,XPB1
MCF7,EV,1,4,XPB1
T47D,OE,0.467595624,4,XPB1
T47D,delta,0.837019613,4,XPB1
T47D,EV,1,4,XPB1
ZR75,OE,0.75610928,4,XPB1
ZR75,delta,1.049716684,4,XPB1
ZR75,EV,1,4,XPB1
MCF7,OE,1.182357786,4,GREB1
MCF7,delta,1.43893358,4,GREB1
MCF7,EV,1,4,GREB1
T47D,OE,0.490842928,4,GREB1
T47D,delta,1.385109468,4,GREB1
T47D,EV,1,4,GREB1
ZR75,OE,0.489710149,4,GREB1
ZR75,delta,0.773782497,4,GREB1
ZR75,EV,1,4,GREB1
MCF7,OE,0.597357568,5,TFF1
MCF7,delta,0.715322966,5,TFF1
MCF7,EV,1,5,TFF1
T47D,OE,0.752623374,5,TFF1
T47D,delta,1.094293701,5,TFF1
T47D,EV,1,5,TFF1
ZR75,OE,0.860551437,5,TFF1
ZR75,delta,0.868541486,5,TFF1
ZR75,EV,1,5,TFF1
MCF7,OE,0.705474904,5,XPB1
MCF7,delta,0.632878297,5,XPB1
MCF7,EV,1,5,XPB1
T47D,OE,0.573023681,5,XPB1
T47D,delta,0.766664172,5,XPB1
T47D,EV,1,5,XPB1
ZR75,OE,0.511686946,5,XPB1
ZR75,delta,1.228303149,5,XPB1
ZR75,EV,1,5,XPB1
MCF7,OE,0.443395695,5,GREB1
MCF7,delta,0.600124333,5,GREB1
MCF7,EV,1,5,GREB1
T47D,OE,0.25643528,5,GREB1
T47D,delta,0.79922115,5,GREB1
T47D,EV,1,5,GREB1
ZR75,OE,0.33293982,5,GREB1
ZR75,delta,0.950439478,5,GREB1
ZR75,EV,1,5,GREB1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
