Target,Sample,Replicate,Expression,St.dv
GREB1,siGRHL2,Rep 1,1.187384622,0.261196471
GREB1,siGRHL2,Rep 2,1.388996214,0.221143964
GREB1,siGRHL2,Rep 3,1.327960284,0.120149475
GREB1,siGRHL2,Rep 4,1.545617142,0.189949402
GREB1,siGRHL2,Rep 5,1.108012123,0.139354298
GREB1,siGRHL2,Rep 6,0.939284647,0.174226301
GREB1,GRHL2-DDK,Rep 1,0.47911382,0.066826488
GREB1,GRHL2-DDK,Rep 2,0.646073855,0.045353076
GREB1,GRHL2-DDK,Rep 3,0.988485471,0.129929398
GREB1,GRHL2-DDK,Rep 4,1.174420183,0.256124529
GREB1,GRHL2-DDK,Rep 5,0.651718416,0.1606941
GREB1,GRHL2-DDK,Rep 6,0.674069226,0.190724499
TFF1,siGRHL2,Rep 1,0.887847007,0.130972361
TFF1,siGRHL2,Rep 2,0.951578776,0.057933148
TFF1,siGRHL2,Rep 3,1.014445247,0.122524499
TFF1,siGRHL2,Rep 4,0.817067402,0.256239341
TFF1,siGRHL2,Rep 5,1.015461353,0.290498183
TFF1,siGRHL2,Rep 6,0.866553864,0.070086601
TFF1,GRHL2-DDK,Rep 1,0.875743735,0.089901508
TFF1,GRHL2-DDK,Rep 2,0.8367781,0.109229928
TFF1,GRHL2-DDK,Rep 3,0.892074642,0.04992495
TFF1,GRHL2-DDK,Rep 4,1.068455878,0.151903161
TFF1,GRHL2-DDK,Rep 5,0.866219167,0.053511912
TFF1,GRHL2-DDK,Rep 6,0.80925503,0.079738881
XBP1,siGRHL2,Rep 1,1.178652146,0.243688088
XBP1,siGRHL2,Rep 2,0.745344344,0.137226765
XBP1,siGRHL2,Rep 3,0.75045753,0.300453303
XBP1,siGRHL2,Rep 4,0.706198339,0.221633475
XBP1,siGRHL2,Rep 5,0.899579693,0.090932336
XBP1,siGRHL2,Rep 6,1.053555756,0.313625681
XBP1,GRHL2-DDK,Rep 1,0.883311378,0.117733886
XBP1,GRHL2-DDK,Rep 2,0.853801735,0.14481978
XBP1,GRHL2-DDK,Rep 3,0.547703245,0.127821082
XBP1,GRHL2-DDK,Rep 4,0.498828915,0.050176752
XBP1,GRHL2-DDK,Rep 5,0.67985218,0.308064022
XBP1,GRHL2-DDK,Rep 6,0.629134914,0.12696803
GREB1,Ctrl,Rep 1,1,1
GREB1,Ctrl,Rep 2,1,1
GREB1,Ctrl,Rep 3,1,1
GREB1,Ctrl,Rep 4,1,1
GREB1,Ctrl,Rep 5,1,1
GREB1,Ctrl,Rep 6,1,1
XBP1,Ctrl,Rep 1,1,1
XBP1,Ctrl,Rep 2,1,1
XBP1,Ctrl,Rep 3,1,1
XBP1,Ctrl,Rep 4,1,1
XBP1,Ctrl,Rep 5,1,1
XBP1,Ctrl,Rep 6,1,1
TFF1,Ctrl,Rep 1,1,1
TFF1,Ctrl,Rep 2,1,1
TFF1,Ctrl,Rep 3,1,1
TFF1,Ctrl,Rep 4,1,1
TFF1,Ctrl,Rep 5,1,1
TFF1,Ctrl,Rep 6,1,1
