"Protein","Gene","Description","GeneSymbol","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"Q8N4H0","SPA6L_HUMAN","Spermatogenesis associated 6-like protein","SPATA6L",4.72,4.75,5.53,6.26,6.55,7.09,6.68,6.97,6.93,7.55,1,1.65,6.30268401788259,6.92,1.5e-05,0.022,0.16,-0.50549140130769
"P03372","ESR1_HUMAN","Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)","ESR1",9,8.62,8.82,9.43,9.7,9.27,9.78,7.47,7.72,7.52,6,0.73,8.73137929617522,5.47,0.00013,0.1,-0.69,1.97382100580029
"Q9P2D0","IBTK_HUMAN","Inhibitor of Bruton tyrosine kinase (IBtk)","IBTK",6.29,6.38,6.89,7.51,7.09,6.98,7.46,6.8,7.3,7.33,1,0.74,7.00317069784365,3.93,0.0019,0.98,-1.94,0.116512686613541
"Q14896","MYPC3_HUMAN","Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform)","MYBPC3",4.83,5.26,5.01,4.2,4.29,4.54,4.18,2.92,3.88,3.07,1,-0.73,4.21788565122756,-3.33,0.0058,1,-2.53,1.74310964778034
"Q7Z3B4","NUP54_HUMAN","Nucleoporin p54 (54 kDa nucleoporin)","NUP54",5.68,5.63,5.4,5.12,5.26,5.09,5.22,4.59,4.44,4.53,1,-0.4,5.09577139833124,-3.33,0.0059,1,-2.54,1.05055308286957
"P46379","BAG6_HUMAN","Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe)","BAG6",2.78,2.79,3,1.92,2.19,2.2,2.39,1.91,1.93,1.99,1,-0.68,2.30959535784514,-3.31,0.0061,1,-2.55,0.916454597047529
"Q96IZ0","PAWR_HUMAN","PRKC apoptosis WT1 regulator protein (Prostate apoptosis response 4 protein) (Par-4)","PAWR",7.36,7.26,7.9,6.95,6.61,7.26,6.92,5.65,5.15,5.33,1,-0.57,6.63789460777373,-3.05,0.01,1,-2.83,2.12979282735265
"P42704","LPPRC_HUMAN","Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)","LRPPRC",7.15,7.25,7.01,6.49,6.86,7.05,6.61,5.45,5.64,5.38,1,-0.39,6.49034715745387,-2.74,0.018,1,-3.15,1.64573501810134
"Q13427","PPIG_HUMAN","Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G)","PPIG",4.68,4.05,4.49,5.05,4.91,4.94,4.82,3.4,4.11,3.81,1,0.52,4.42497584289311,2.71,0.019,1,-3.19,1.15488977725773
"Q96T60","PNKP_HUMAN","Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]","PNKP",4.75,5.33,4.86,4.32,4.54,4.62,4.59,3.51,3.28,3.69,1,-0.46,4.34875415474012,-2.71,0.019,1,-3.19,1.48979442998202
