Protein	Gene	Description	N	logFC	AveExpr	t	P.Value	adj.P.Val	B	logFCcontrol	ER_0min	ER_90min	IgG	PR590:ER 0min	PR590:ER 90min	PR590:IgG	PR622:ER 0min	PR622:ER 90min	PR622:IgG	PR650:ER 0min	PR650:ER 90min	PR650:IgG
A6NDG6	PGP	Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	2	-0.576372735138619	5.54095774367485	NA	NA	NA	NA	0.441455876714956	6.01909746885875	5.44272473372013	5.57764159214379	5.73529006482867	5.3474631869945	5.88682882127555	6.1339861834277	5.36906759098463	5.09953567355091	NA	NA	NA
A6NDU8	CE051	UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1	2	-0.347755626672576	6.29405261381605	NA	NA	NA	NA	0.380017752936241	6.80540050909449	6.45764488242192	6.42538275615825	6.77346892790519	6.76752238622854	6.19658456363045	6.12633573289463	5.43677102122613	5.94318459129689	NA	NA	NA
A8MWD9	RUXGL	Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2	3	-0.0286781983447835	7.58637630600863	-0.174680619263546	0.863284467707157	0.994963420103498	-7.07197479316728	-0.0317596744318296	6.99829474606056	6.96961654771578	7.03005442049239	6.90482812915163	7.04751346120263	6.98397078970631	8.63753055152531	8.55398577559104	8.58941038747495	6.99790528409824	6.85273013294716	7.06216181088941
B5ME19	EIFCL	Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1	2	0.467757443983021	8.29129559473397	NA	NA	NA	NA	0.00783048821125476	7.56598303911704	8.03374048310006	8.0259099948888	7.73664352807694	8.18724601477824	8.28424574982967	8.89217415429853	9.37708655556327	9.26442584408933	NA	NA	NA
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	3	-0.0974207489014667	9.11633309274947	-0.330330315705719	0.744972131511502	0.950421673037324	-7.03092847173165	-2.68619960350515	8.17102743080457	8.07360668190311	10.8572270343097	7.84960615941661	7.67766931126577	11.1746760596882	8.43409203158389	8.47425640211913	10.2833529827383	8.17912712219911	8.01863735311031	11.0633950812885
E9PAV3	NACAM	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1	3	-0.00817725837826266	7.55268763060737	-0.0359668283282784	0.971705511511217	0.996160986663754	-7.08727896220177	-0.458480130291698	6.49051093804539	6.48233367966712	6.94899106833708	6.66371057405775	6.3332192556523	6.75755668893945	8.94911800527926	9.26541412335509	9.45594362494581	7.10927100015363	7.09893442534847	7.88403965648048
O00151	PDLI1	PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	3	-0.140263270685021	6.92988905866452	-0.651330443522851	0.523079758399364	0.901195018247474	-6.8681661606278	-0.520310848555674	6.8437760045751	6.70351273389008	7.36408685313077	6.87265289617867	6.59629626347463	7.91104951846922	8.30514974563003	8.3132069743853	8.52042224852645	5.69209237542757	5.53960196732128	5.99935579590763
O00170	AIP	AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2	2	-0.869527181032996	6.88959731462166	NA	NA	NA	NA	1.13281413005408	6.87340687487267	6.00387969383967	5.74059274481859	6.98397078970631	6.02822182298115	5.76344951566689	8.62210412797294	7.8387987326321	7.57699714190419	NA	NA	NA
O00193	SMAP	Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1	1	-0.277639028688563	7.20265487566763	NA	NA	NA	NA	0.235791338331778	7.15669708898325	6.87905806029468	6.92090575065147	7.15669708898325	6.87905806029468	6.92090575065147	NA	NA	NA	NA	NA	NA
O00232	PSD12	26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3	2	-0.232173283178746	7.91585245198975	NA	NA	NA	NA	-0.458183254194216	8.26384354802383	8.03167026484508	8.72202680221804	8.28553432774388	7.94293334553405	9.01300356811629	7.69949809203539	7.57775250788773	7.88839536005141	NA	NA	NA
O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=1 SV=3	2	0.0545496429726917	8.07244044830489	NA	NA	NA	NA	-0.0349279789411359	8.20917773373537	8.26372737670806	8.29865535564919	7.93646968487201	8.18097472717348	8.2701284348019	7.67040334438628	7.53499758803019	7.51569983828404	NA	NA	NA
O00267	SPT5H	Transcription elongation factor SPT5 OS=Homo sapiens GN=SUPT5H PE=1 SV=1	1	-0.624528248659162	4.30026994847615	NA	NA	NA	NA	0.339303376173969	4.52176867423396	3.8972404255748	4.18246529805999	4.52176867423396	3.8972404255748	4.18246529805999	NA	NA	NA	NA	NA	NA
O00299	CLIC1	Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4	3	-0.220631692710811	8.11585865738353	-1.4007253364435	0.178335374912593	0.679419187134961	-6.11215496264855	0.167331640392494	9.02788806297569	8.80725637026488	8.86055642258319	8.86663867489149	8.71311643698374	8.90114704130522	8.78533569329581	8.411450458316	8.3589964896849	7.28843766671309	7.15395006146822	7.17827358273277
O00401	WASL	Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens GN=WASL PE=1 SV=2	1	-0.194722638847559	6.64365757230422	NA	NA	NA	NA	-0.313662767117984	6.69388516203977	6.49916252319221	7.00754792915776	6.69388516203977	6.49916252319221	7.00754792915776	NA	NA	NA	NA	NA	NA
