"Protein","Gene","Description","GeneSymbol","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P02747","C1QC_HUMAN","Complement C1q subcomponent subunit C","C1QC",2.28,2.74,2.3,2.16,2.88,2.18,2.76,7.96,8.27,7.8,1,-5.56,4.13327577656,-23.94,1.2e-11,1.4e-08,17.23
"Q8WUA4","TF3C2_HUMAN","General transcription factor 3C polypeptide 2 (TF3C-beta) (Transcription factor IIIC 110 kDa subunit) (TFIIIC 110 kDa subunit) (TFIIIC110) (Transcription factor IIIC subunit beta)","GTF3C2",9.04,9.34,9.32,9.5,9.32,9.18,9.35,6.77,6.65,6.63,5,2.55,8.51064124542957,23.16,1.8e-11,1.4e-08,16.85
"P63167","DYL1_HUMAN","Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)","DYNLL1",8.27,8.61,8.42,8.37,8.43,8.42,8.41,6.31,6.07,6.15,2,2.26,7.74504980308685,21.06,5.7e-11,1.8e-08,15.75
"Q13547","HDAC1_HUMAN","Histone deacetylase 1 (HD1) (EC 3.5.1.98)","HDAC1",8.49,8.7,8.6,8.67,8.74,8.47,8.83,6.04,5.73,6.11,2,2.64,7.83951996111945,20.85,6.4e-11,1.8e-08,15.63
"O15164","TIF1A_HUMAN","Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)","TRIM24",9.55,10.19,10.05,9.82,10.04,9.9,10.04,6.94,7.1,6.89,8,2.95,9.05179209304774,20.44,8.1e-11,1.8e-08,15.4
"Q06830","PRDX1_HUMAN","Peroxiredoxin-1 (EC 1.11.1.15) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2)","PRDX1",10.95,11.35,11.09,11.35,11.18,11.31,11.2,8.99,9.1,8.98,8,2.1,10.5499262243127,20.37,8.4e-11,1.8e-08,15.36
"Q9UPN9","TRI33_HUMAN","E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)","TRIM33",9.54,10.04,9.99,9.83,9.82,9.77,9.98,7.1,7.35,7.08,8,2.68,9.05090108395306,20.19,9.4e-11,1.8e-08,15.25
"Q9UMS4","PRP19_HUMAN","Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)","PRPF19",8.48,8.52,8.53,8.38,8.51,8.45,8.41,6.79,6.87,6.75,8,1.71,7.96944692453871,20.16,9.6e-11,1.8e-08,15.23
"Q99873","ANM1_HUMAN","Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)","PRMT1",9.38,9.75,9.6,9.66,9.58,9.77,9.59,7.58,7.49,7.56,6,2.03,8.99530931398539,19.93,1.1e-10,1.8e-08,15.1
"Q9NSD9","SYFB_HUMAN","Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)","FARSB",10.65,10.86,10.67,11.05,10.78,10.67,10.9,8.76,8.67,8.66,10,2.03,10.1663847601372,19.52,1.4e-10,1.9e-08,14.85
