"seqnames" "start" "end" "width" "strand" "Conc" "Conc_none" "Conc_ER" "Fold" "p.value" "FDR" "peak" "feature" "start_position" "end_position" "feature_strand" "insideFeature" "distancetoFeature" "shortestDistance" "fromOverlappingOrNearest" "symbol"
"X12123.256394" "chr14" 93959394 93959894 501 "*" 7.63 6.04 8.37 -2.33 1.52e-13 4.31e-09 "12123" "256394" 94442464 94452790 "-" "downstream" 493396 482570 "NearestLocation" "SERPINA11"
"X9047.11103" "chr12" 75706270 75706770 501 "*" 6.74 4.93 7.52 -2.6 2.06e-13 4.31e-09 "9047" "11103" 75490861 75511636 "-" "upstream" -194634 194634 "NearestLocation" "KRR1"
"X24493.7074" "chr21" 31529399 31529899 501 "*" 6.5 4.86 7.25 -2.39 6.24e-13 7.51e-09 "24493" "7074" 31118416 31559977 "-" "inside" 30578 30078 "NearestLocation" "TIAM1"
"X129.9341" "chr1" 7447769 7448269 501 "*" 4.98 2.44 5.85 -3.41 7.17e-13 7.51e-09 "129" "9341" 7771269 7781432 "+" "upstream" -323500 323000 "NearestLocation" "VAMP3"
"X40054.26578" "chr9" 75101020 75101520 501 "*" 6.94 4.8 7.76 -2.96 3.6e-12 3.02e-08 "40054" "26578" 75088543 75147265 "+" "inside" 12477 12477 "NearestLocation" "OSTF1"
"X28564.101928684" "chr3" 176953741 176954241 501 "*" 5.53 3.8 6.3 -2.5 7.69e-12 5.37e-08 "28564" "101928684" 176814155 176817001 "-" "upstream" -136740 136740 "NearestLocation" "LINC01209"
"X30039.80216" "chr4" 112283309 112283809 501 "*" 5.68 3.97 6.44 -2.48 6.81e-11 4.08e-07 "30039" "80216" 112285509 112442620 "+" "upstream" -2200 1700 "NearestLocation" "ALPK1"
"X37267.100505483" "chr7" 151856559 151857059 501 "*" 7.37 5.33 8.19 -2.86 9.36e-11 4.9e-07 "37267" "100505483" 151877042 151879223 "+" "upstream" -20483 19983 "NearestLocation" "PRKAG2-AS1"
"X24779.7031" "chr21" 42376323 42376823 501 "*" 7.17 5.84 7.85 -2.01 1.4e-10 6.53e-07 "24779" "7031" 42362282 42366594 "-" "upstream" -9729 9729 "NearestLocation" "TFF1"
"X33314.154141" "chr6" 20210011 20210511 501 "*" 5.86 4.2 6.61 -2.41 3.84e-10 1.48e-06 "33314" "154141" 20102145 20212399 "-" "inside" 2388 1888 "NearestLocation" "MBOAT1"
