"Protein","Gene","Description","GeneSymbol","Ctrl.Rep1","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"Q8N4H0","SPA6L_HUMAN","Spermatogenesis associated 6-like protein","SPATA6L",2.58,5,5.03,5.81,6.55,6.84,7.38,6.96,6.97,6.93,7.55,1,2.33,6.14527270864991,4.29,0.0012,0.74,-3.58,-0.218608261603028
"P46379","BAG6_HUMAN","Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe)","BAG6",3.15,3.03,3.05,3.25,2.13,2.42,2.43,2.63,1.91,1.93,1.99,1,-0.72,2.53850754289112,-4.21,0.0013,0.74,-3.6,1.17902437475231
"P03372","ESR1_HUMAN","Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)","ESR1",7.8,9.29,8.91,9.11,9.72,9.99,9.56,10.07,7.47,7.72,7.52,6,1.06,8.83057499653,3.87,0.0025,0.74,-3.68,2.26302831046525
"Q14896","MYPC3_HUMAN","Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform)","MYBPC3",5.91,5.11,5.54,5.29,4.47,4.56,4.82,4.46,2.92,3.88,3.07,1,-0.89,4.54885172681385,-3.79,0.0028,0.74,-3.7,2.17326910427798
"Q96IZ0","PAWR_HUMAN","PRKC apoptosis WT1 regulator protein (Prostate apoptosis response 4 protein) (Par-4)","PAWR",7.95,7.65,7.54,8.19,7.24,6.9,7.55,7.21,5.65,5.15,5.33,1,-0.61,6.94048794495047,-3.31,0.0066,0.74,-3.84,2.45773460089321
"Q96T60","PNKP_HUMAN","Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]","PNKP",5.91,5.03,5.61,5.14,4.6,4.82,4.9,4.87,3.51,3.28,3.69,1,-0.63,4.66883800298918,-3.15,0.0089,0.74,-3.89,1.93387472171974
"Q9P2D0","IBTK_HUMAN","Inhibitor of Bruton tyrosine kinase (IBtk)","IBTK",4.71,6.57,6.67,7.18,7.8,7.38,7.27,7.75,6.8,7.3,7.33,1,1.26,6.97792534872583,2.99,0.012,0.74,-3.94,0.404341366164867
"Q7Z3B4","NUP54_HUMAN","Nucleoporin p54 (54 kDa nucleoporin)","NUP54",6.95,5.97,5.91,5.68,5.4,5.54,5.37,5.51,4.59,4.44,4.53,1,-0.67,5.44459000994204,-2.94,0.013,0.74,-3.96,1.60909851012922
"P42704","LPPRC_HUMAN","Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)","LRPPRC",7.5,7.44,7.54,7.3,6.77,7.15,7.33,6.9,5.45,5.64,5.38,1,-0.41,6.76530678451365,-2.91,0.014,0.74,-3.97,1.95271985613551
"O75694","NU155_HUMAN","Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155)","NUP155",8.58,8.01,7.93,7.82,7.7,7.79,7.61,7.55,6.46,6.37,6.27,4,-0.42,7.46145221658414,-2.69,0.021,0.74,-4.04,1.71384190590732
"P20930","FILA_HUMAN","Filaggrin","FLG",6.85,7.21,7.49,7.47,7.56,7.97,7.59,7.63,6.33,6.6,6.26,1,0.43,7.17768865130807,2.63,0.023,0.74,-4.07,1.29008963703993
"Q9UHA3","RLP24_HUMAN","Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)","RSL24D1",2.06,2.87,1.72,2.42,3.44,2.85,2.55,3.08,2.92,2.87,2.48,1,0.71,2.65968360015707,2.58,0.025,0.74,-4.08,0.223849108081029
"Q9NQX4","MYO5C_HUMAN","Unconventional myosin-Vc","MYO5C",7.68,7.37,7.75,6.94,6.74,7.17,7.16,6.77,5.41,5.55,5.66,3,-0.48,6.74406389503482,-2.55,0.026,0.74,-4.09,1.89303646793378
"P28070","PSB4_HUMAN","Proteasome subunit beta type-4 (EC 3.4.25.1) (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)","PSMB4",2.31,3.05,2.72,2.88,3.39,3.32,3.07,3.61,2.07,2.69,1.8,1,0.61,2.80985850766869,2.52,0.028,0.74,-4.1,1.15888877832507
"Q9UNH7","SNX6_HUMAN","Sorting nexin-6 (TRAF4-associated factor 2) [Cleaved into: Sorting nexin-6, N-terminally processed]","SNX6",2.8,3.65,2.97,3.25,3.69,3.93,3.54,3.47,2.85,3.1,2.97,1,0.48,3.29247484250244,2.35,0.038,0.74,-4.16,0.681470921901636
"P08779","K1C16_HUMAN","Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)","KRT16",6.19,6.66,7.23,7.08,7.36,10.74,7.35,7.57,6.29,6.87,6.76,5,1.47,7.28355861934474,2.29,0.042,0.74,-4.18,1.61340951867052
"Q9H6Y2","WDR55_HUMAN","WD repeat-containing protein 55","WDR55",3.25,3.95,4.06,3.71,4.43,4.26,3.97,4.45,3.05,3.77,3,1,0.54,3.80915290510651,2.29,0.042,0.74,-4.19,1.00657417847201
"P02533","K1C14_HUMAN","Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)","KRT14",6.3,8.09,8.59,8.24,8.28,10.03,8.91,8.46,7.22,8.05,7.44,3,1.12,8.14699833542162,2.27,0.043,0.74,-4.19,1.3512703037175
"Q9BS40","LXN_HUMAN","Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Protein MUM) (Tissue carboxypeptidase inhibitor) (TCI)","LXN",6.46,7.27,7.29,7.53,7.7,7.53,7.47,7.74,6.48,6.93,6.47,1,0.47,7.17019288012821,2.24,0.046,0.74,-4.2,0.982661836963343
"Q63HN8","RN213_HUMAN","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)","RNF213",5.01,6.29,6.24,7.23,7.23,6.86,6.67,7.23,6.45,6.4,6.19,1,0.81,6.52613031017011,2.24,0.046,0.74,-4.21,0.652946746380586
