geneid	length	log10_length	num_peaks	peak
2625	1370714	6.13694684853206	28	1
7026	1213655	6.08409524943265	28	1
7227	1659409	6.21995344120894	26	1
4685	2314293	6.36441834174959	23	1
5820	1073436	6.03077615620085	23	1
23199	356546	5.55211556857051	23	1
26011	2461617	6.39122048250033	21	1
89797	836086	5.92225095136784	21	1
3480	383131	5.58334729315838	20	1
145581	2583328	6.41217955117776	20	1
1946	1634239	6.2133155704283	19	1
3280	359829	5.55609616187902	19	1
9366	2054052	6.3126114339191	19	1
729582	554859	5.74418263483109	19	1
5321	1898599	6.27843324779276	18	1
8204	573385	5.75844632742728	18	1
10370	1476843	6.16933432885441	18	1
53353	2048690	6.31147624757893	18	1
57007	293514	5.46762882101034	18	1
57624	968613	5.98615029352569	18	1
84569	366029	5.5635154953426	18	1
124540	379500	5.5792117802315	18	1
1523	594955	5.77448411868527	17	1
3778	1282378	6.1080160588154	17	1
5583	317575	5.50184630676076	17	1
6482	650382	5.81316851319971	17	1
7090	445174	5.64852979181213	17	1
9314	787023	5.89598742438845	17	1
57580	360459	5.55685587353149	17	1
57620	2139336	6.33027899938505	17	1
64759	888255	5.94853766081805	17	1
79722	468270	5.67049633533536	17	1
84075	1598938	6.20383162398394	17	1
165679	1921686	6.28368242620043	17	1
463	1067645	6.02842687051058	16	1
595	214271	5.33096339646308	16	1
1016	2124428	6.32724201679406	16	1
4094	1220651	6.08659151125048	16	1
5770	223024	5.34835160074647	16	1
10082	3562751	6.55178547065165	16	1
27086	1165606	6.0665517743146	16	1
79718	1640401	6.2149500253645	16	1
84909	477484	5.67895882340012	16	1
100129066	592518	5.77270154823815	16	1
2122	741278	5.86998111111543	15	1
3720	772703	5.88801259838573	15	1
6256	302008	5.48001844729436	15	1
7022	366702	5.5643132786178	15	1
23389	924628	5.96596704080158	15	1
79109	318384	5.50295123467396	15	1
79977	211158	5.32460753989325	15	1
339479	2664779	6.42566119720486	15	1
861	1272816	6.1047656259943	14	1
1740	1848115	6.26672899194442	14	1
4121	1043924	6.01866888220833	14	1
5295	986107	5.99392404170422	14	1
7088	1176776	6.07069380250172	14	1
9394	944226	5.97507595489747	14	1
10140	105816	5.02455134053793	14	1
55137	891559	5.95015008842734	14	1
57689	3939674	6.59546028632845	14	1
80139	424049	5.62741604338533	14	1
90627	646171	5.81034746308647	14	1
91584	1014398	6.00620838427798	14	1
254827	2004436	6.30199219414076	14	1
283050	517651	5.71403705731957	14	1
284207	171582	5.23447172575802	14	1
284749	428878	5.63233376896313	14	1
285386	757264	5.87924731114526	14	1
753	497361	5.69667172755868	13	1
868	1009825	6.0042461182189	13	1
1009	1733229	6.23885594694127	13	1
3169	287234	5.45823584621936	13	1
6662	1461569	6.1648193230201	13	1
8626	563651	5.75101028184063	13	1
22941	740133	5.86930976834721	13	1
22982	497783	5.69704006074935	13	1
51422	359135	5.55525773196027	13	1
54769	654656	5.81601315259245	13	1
57178	243410	5.38633841635751	13	1
196475	815959	5.91166833703682	13	1
1601	673092	5.82807442880292	12	1
2309	325019	5.51190874976031	12	1
3632	205443	5.31269134825954	12	1
3708	351087	5.54541474876814	12	1
7050	313006	5.49555266260049	12	1
7091	1697222	6.22973865261183	12	1
9223	1139102	6.05656261438093	12	1
9722	323094	5.50932889304987	12	1
10920	386844	5.5875358652828	12	1
131368	1880888	6.27436293567258	12	1
140733	1923666	6.28412966907971	12	1
145978	885210	5.94704631140105	12	1
283598	646680	5.81068942964365	12	1
285220	1725775	6.23698417340231	12	1
375759	152585	5.18351184202371	12	1
677	488340	5.6887222988649	11	1
1316	741671	5.87021129804078	11	1
2139	312491	5.4948375138189	11	1
4488	699219	5.84461322094649	11	1
4638	317248	5.50139889288904	11	1
5799	1185826	6.07402096830001	11	1
5897	1849785	6.26712125340854	11	1
6091	2626089	6.41930944054779	11	1
6840	423054	5.62639580568526	11	1
8997	621417	5.79338313000232	11	1
9444	1287054	6.10959676866821	11	1
9612	308809	5.48968994902568	11	1
9834	236629	5.37406796839074	11	1
9935	1033230	6.0141970074948	11	1
10512	561845	5.74961652032128	11	1
23705	1190521	6.07573706047478	11	1
27258	135891	5.13319069455613	11	1
55024	685350	5.83591241711139	11	1
56884	1949537	6.28993148201867	11	1
57496	444360	5.64773495809707	11	1
59269	559674	5.747935131958	11	1
60625	881460	5.94520260912152	11	1
81553	830304	5.91923713014744	11	1
114781	463861	5.66638785991518	11	1
114798	2727483	6.43576205237525	11	1
