peak_id	chrom	peak_start	peak_end	peak_midpoint	geneid	gene_symbol	gene_locus_start	gene_locus_end	nearest_tss	dist_to_tss	nearest_tss_gene	nearest_tss_gene_strand
542	chr20	60016965	60017965	60017465	1002	CDH4	59986375	60160012	60074476	-57010	1002	+
456	chr20	59946500	59947500	59947000	1002	CDH4	59229270	59986374	59827481	119518	1002	+
350	chr20	59878521	59879521	59879021	1002	CDH4	59229270	59986374	59827481	51539	1002	+
437	chr20	59822049	59823049	59822549	1002	CDH4	59229270	59986374	59827481	-4931	1002	+
391	chr20	59882117	59883117	59882617	1002	CDH4	59229270	59986374	59827481	55135	1002	+
367	chr20	23482182	23483182	23482682	10047	CST8	23452625	23485774	23471765	10916	10047	+
440	chr20	50364919	50365919	50365419	10079	ATP9A	50349476	50401978	50384908	19488	10079	-
529	chr20	50356468	50357468	50356968	10079	ATP9A	50349476	50401978	50384908	27939	10079	-
502	chr20	50366370	50367370	50366870	10079	ATP9A	50349476	50401978	50384908	18037	10079	-
203	chr20	50332135	50333135	50332635	10079	ATP9A	50246606	50349475	50314042	-18592	10079	-
378	chr20	50360744	50361744	50361244	10079	ATP9A	50349476	50401978	50384908	23663	10079	-
161	chr20	50351177	50352177	50351677	10079	ATP9A	50349476	50401978	50384908	33230	10079	-
448	chr20	35153338	35154338	35153838	10398	MYL9	35148059	35185953	35169886	-16047	10398	+
55	chr20	48900911	48901911	48901411	1051	CEBPB	48788856	48967133	48909256	-7844	284751	+
341	chr20	48897752	48898752	48898252	1051	CEBPB	48788856	48967133	48909256	-11003	284751	+
94	chr20	48943511	48944511	48944011	1051	CEBPB	48788856	48967133	48909256	34754	284751	+
147	chr20	48793797	48794797	48794297	1051	CEBPB	48788856	48967133	48807119	-12821	1051	+
227	chr20	48922037	48923037	48922537	1051	CEBPB	48788856	48967133	48909256	13280	284751	+
273	chr20	48895110	48896110	48895610	1051	CEBPB	48788856	48967133	48909256	-13645	284751	+
249	chr20	48853589	48854589	48854089	1051	CEBPB	48788856	48967133	48807119	46969	1051	+
251	chr20	47491552	47492552	47492052	10564	ARFGEF2	47491348	47600556	47538274	-46221	10564	+
208	chr20	47538228	47539228	47538728	10564	ARFGEF2	47491348	47600556	47538274	453	10564	+
490	chr20	47545495	47546495	47545995	10564	ARFGEF2	47491348	47600556	47538274	7720	10564	+
85	chr20	47562115	47563115	47562615	10564	ARFGEF2	47491348	47600556	47538274	24340	10564	+
271	chr20	36170315	36171315	36170815	10904	BLCAP	36156201	36264675	36156333	-14481	10904	-
422	chr20	36190759	36191759	36191259	10904	BLCAP	36156201	36264675	36156333	-34925	10904	-
366	chr20	17585585	17586585	17586085	11034	DSTN	17563971	17590659	17577342	8742	11034	+
209	chr20	17548339	17549339	17548839	11034	DSTN	17545103	17563970	17549865	1025	631	-
460	chr20	60872011	60873011	60872511	11047	ADRM1	60866099	60879194	60878026	-5514	11047	+
389	chr20	41105607	41106607	41106107	11122	PTPRT	40537586	41323297	40828037	-278069	11122	-
508	chr20	41200967	41201967	41201467	11122	PTPRT	40537586	41323297	40828037	-373429	11122	-
365	chr20	5871199	5872199	5871699	1114	CHGB	5811509	5911573	5891973	-20273	1114	+
126	chr20	5813652	5814652	5814152	1114	CHGB	5811509	5911573	5891973	-77820	1114	+
520	chr20	43181654	43182654	43182154	11142	PKIG	43155582	43220406	43160435	21718	11142	+
518	chr20	34057246	34058246	34057746	11190	CEP250	34048971	34086136	34054790	2955	11190	+
373	chr20	34055636	34056636	34056136	11190	CEP250	34048971	34086136	34054790	1345	11190	+
300	chr20	3954059	3955059	3954559	11237	RNF24	3933259	3996135	3996054	41494	11237	-
468	chr20	720516	721516	721016	113278	SLC52A3	703027	781792	749228	28211	113278	-
396	chr20	734249	735249	734749	113278	SLC52A3	703027	781792	749228	14478	113278	-
214	chr20	58325576	58326576	58326076	116154	PHACTR3	58273991	58353665	58296264	29811	116154	+
313	chr20	58444761	58445761	58445261	116154	PHACTR3	58353666	58452859	58411066	34194	116154	+
192	chr20	58030598	58031598	58031098	116154	PHACTR3	58014032	58166083	58152563	-121464	116154	+
71	chr20	58328558	58329558	58329058	116154	PHACTR3	58273991	58353665	58296264	32793	116154	+
320	chr20	58400686	58401686	58401186	116154	PHACTR3	58353666	58452859	58411066	-9879	116154	+
342	chr20	58225145	58226145	58225645	116154	PHACTR3	58215660	58273990	58203663	21981	116154	+
261	chr20	36473502	36474502	36474002	128434	VSTM2L	36468587	36596666	36531498	-57495	128434	+
146	chr20	42930588	42931588	42931088	128486	FITM2	42907899	42952757	42939889	8800	128486	-
416	chr20	56591830	56592830	56592330	128602	C20orf85	56506263	56773645	56470449	121880	100616353	+
526	chr20	56717153	56718153	56717653	128602	C20orf85	56506263	56773645	56725982	-8328	128602	+
331	chr20	56555736	56556736	56556236	128602	C20orf85	56506263	56773645	56470449	85786	100616353	+
187	chr20	56583648	56584648	56584148	128602	C20orf85	56506263	56773645	56470449	113698	100616353	+
70	chr20	56629560	56630560	56630060	128602	C20orf85	56506263	56773645	56725982	-95921	128602	+
400	chr20	425465	426465	425965	128637	TBC1D20	415949	483835	443187	17221	128637	-
238	chr20	23576446	23577446	23576946	128822	CST9	23567999	23602592	23586610	9663	128822	-
390	chr20	32403175	32404175	32403675	128866	CHMP4B	32387007	32490425	32399109	4565	128866	+
127	chr20	61044866	61045866	61045366	140628	GATA5	61026809	61099879	61051026	5659	140628	-
45	chr20	61027500	61028500	61028000	140628	GATA5	61026809	61099879	61051026	23025	140628	-
283	chr20	61086056	61087056	61086556	140628	GATA5	61026809	61099879	61051026	-35529	140628	-
241	chr20	61056785	61057785	61057285	140628	GATA5	61026809	61099879	61051026	-6258	140628	-
269	chr20	31766211	31767211	31766711	140683	BPIFA2	31699595	31768685	31755959	10751	140683	+
204	chr20	62460026	62461026	62460526	140685	ZBTB46	62449728	62477581	62462597	2070	140685	-
152	chr20	44407696	44408696	44408196	140686	WFDC3	44385768	44420561	44419579	11382	140686	-
362	chr20	31130132	31131132	31130632	140688	C20orf112	31097745	31192972	31124200	-6431	140688	-
327	chr20	31173370	31174370	31173870	140688	C20orf112	31097745	31192972	31172875	-994	140688	-
484	chr20	56035798	56036798	56036298	140690	CTCFL	56005190	56091842	56083760	47461	140690	-
98	chr20	62477112	62478112	62477612	140701	ABHD16B	62477582	62494577	62492565	-14952	140701	+
387	chr20	31570306	31571306	31570806	140732	SUN5	31499970	31593823	31592239	21432	140732	-
185	chr20	31564228	31565228	31564728	140732	SUN5	31499970	31593823	31592239	27510	140732	-
137	chr20	14801520	14802520	14802020	140733	MACROD2	14411154	14840770	14910161	108140	100379174	-
496	chr20	14840104	14841104	14840604	140733	MACROD2	14411154	14840770	14910161	69556	100379174	-
329	chr20	15420716	15421716	15421216	140733	MACROD2	14840771	15429002	15177503	243712	140733	+
452	chr20	14758458	14759458	14758958	140733	MACROD2	14411154	14840770	14910161	151202	100379174	-
420	chr20	14692637	14693637	14693137	140733	MACROD2	14411154	14840770	14504036	189100	140733	+
547	chr20	14819633	14820633	14820133	140733	MACROD2	14411154	14840770	14910161	90027	100379174	-
512	chr20	15941763	15942763	15942263	140733	MACROD2	15823467	16163620	15966432	-24168	140733	+
482	chr20	14563700	14564700	14564200	140733	MACROD2	14411154	14840770	14504036	60163	140733	+
467	chr20	14756082	14757082	14756582	140733	MACROD2	14411154	14840770	14910161	153578	100379174	-
109	chr20	14930979	14931979	14931479	140733	MACROD2	14840771	15429002	14910161	-21317	100379174	-
156	chr20	15019491	15020491	15019991	140733	MACROD2	14840771	15429002	14910161	-109829	100379174	-
158	chr20	14859566	14860566	14860066	140733	MACROD2	14840771	15429002	14910161	50094	100379174	-
522	chr20	25603834	25604834	25604334	140838	NANP	25585402	25636112	25604648	313	140838	-
352	chr20	18894002	18895002	18894502	140856	SCP2D1	18784800	18993829	18810839	-83662	100128496	-
477	chr20	18882571	18883571	18883071	140856	SCP2D1	18784800	18993829	18810839	-72231	100128496	-
110	chr20	13227563	13228563	13228063	140862	ISM1	13096023	13406608	13220334	-7728	100505536	-
135	chr20	13224249	13225249	13224749	140862	ISM1	13096023	13406608	13220334	-4414	100505536	-
29	chr20	49189704	49190704	49190204	140876	FAM65C	49190159	49300753	49202322	-12117	693230	+
535	chr20	49240689	49241689	49241189	140876	FAM65C	49190159	49300753	49253426	12236	140876	-
486	chr20	49262034	49263034	49262534	140876	FAM65C	49190159	49300753	49253426	-9107	140876	-
525	chr20	61016867	61017867	61017367	140893	RBBP8NL	60992465	61026808	61002629	-14737	140893	-
59	chr20	34614801	34615801	34615301	140894	CNBD2	34551962	34617977	34638882	23580	647979	-
167	chr20	47625389	47626389	47625889	1434	CSE1L	47600557	47668913	47601328	24560	10564	+
521	chr20	23735526	23736526	23736026	1469	CST1	23700619	23769443	23731574	-4451	1469	-
371	chr20	23812329	23813329	23812829	1470	CST2	23769444	23833846	23807312	-5516	1470	-
58	chr20	23860277	23861277	23860777	1473	CST5	23833847	23913946	23860380	-396	1473	-
294	chr20	23853639	23854639	23854139	1473	CST5	23833847	23913946	23860380	6240	1473	-
284	chr20	37233180	37234180	37233680	149685	ADIG	37173779	37281471	37230576	3103	343578	+
151	chr20	37230618	37231618	37231118	149685	ADIG	37173779	37281471	37230576	541	343578	+
481	chr20	37227897	37228897	37228397	149685	ADIG	37173779	37281471	37230576	-2178	343578	+
344	chr20	37245300	37246300	37245800	149685	ADIG	37173779	37281471	37230576	15223	343578	+
397	chr20	42356323	42357323	42356823	149699	GTSF1L	42325676	42449567	42355642	-1180	149699	-
298	chr20	42404301	42405301	42404801	149699	GTSF1L	42325676	42449567	42355642	-49158	149699	-
401	chr20	43745809	43746809	43746309	149708	WFDC5	43736779	43748455	43743813	-2495	149708	-
436	chr20	5343113	5344113	5343613	149837	LINC00654	5320996	5525963	5297378	-46234	128674	-
419	chr20	5712237	5713237	5712737	149840	C20orf196	5661358	5811508	5731042	-18304	149840	+
304	chr20	31328978	31329978	31329478	149951	COMMD7	31296780	31341002	31331814	2335	149951	-
527	chr20	31319267	31320267	31319767	149951	COMMD7	31296780	31341002	31331814	12046	149951	-
524	chr20	57578770	57579770	57579270	1522	CTSZ	57577681	57588309	57582309	3038	1522	-
13	chr20	52765312	52766312	52765812	1591	CYP24A1	52737899	52789504	52788492	22679	1591	-
5	chr20	52739902	52740902	52740402	1591	CYP24A1	52737899	52789504	52788492	48089	1591	-
335	chr20	44324948	44325948	44325448	164237	WFDC13	44314767	44332156	44330654	-5205	164237	+
515	chr20	23504391	23505391	23504891	164380	CST13P	23485775	23524584	23499782	5108	164380	+
505	chr20	30914489	30915489	30914989	171023	ASXL1	30905810	30951485	30897515	17473	9371	+
297	chr20	10558868	10559868	10559368	182	JAG1	10523465	10643378	10632062	72693	182	-
242	chr20	10642780	10643780	10643280	182	JAG1	10523465	10643378	10632062	-11217	182	-
217	chr20	10539616	10540616	10540116	182	JAG1	10523465	10643378	10632062	91945	182	-
36	chr20	57925935	57926935	57926435	1908	EDN3	57820787	58014031	57875498	50936	1908	+
219	chr20	57922044	57923044	57922544	1908	EDN3	57820787	58014031	57875498	47045	1908	+
133	chr20	32902013	32903013	32902513	191	AHCY	32895413	32925335	32899608	-2904	191	-
449	chr20	32910401	32911401	32910901	191	AHCY	32895413	32925335	32899608	-11292	191	-
57	chr20	32922293	32923293	32922793	191	AHCY	32895413	32925335	32899608	-23184	191	-
429	chr20	32888260	32889260	32888760	191	AHCY	32869694	32895412	32891215	2454	191	-
475	chr20	32897978	32898978	32898478	191	AHCY	32895413	32925335	32899608	1129	191	-
289	chr20	34737139	34738139	34737639	2036	EPB41L1	34721505	34764221	34742661	-5021	2036	+
124	chr20	34652355	34653355	34652855	2036	EPB41L1	34617978	34680028	34638882	-13972	647979	-
56	chr20	34674495	34675495	34674995	2036	EPB41L1	34617978	34680028	34679425	-4429	2036	+
39	chr20	34650315	34651315	34650815	2036	EPB41L1	34617978	34680028	34638882	-11932	647979	-
503	chr20	34679220	34680220	34679720	2036	EPB41L1	34617978	34680028	34679425	294	2036	+
38	chr20	34670157	34671157	34670657	2036	EPB41L1	34617978	34680028	34679425	-8767	2036	+
377	chr20	45640328	45641328	45640828	2139	EYA2	45613486	45743266	45618639	22188	2139	+
162	chr20	45618619	45619619	45619119	2139	EYA2	45613486	45743266	45618639	479	2139	+
190	chr20	45587355	45588355	45587855	2139	EYA2	45565069	45607497	45606873	-19017	2139	+
140	chr20	45637277	45638277	45637777	2139	EYA2	45613486	45743266	45618639	19137	2139	+
393	chr20	45480358	45481358	45480858	2139	EYA2	45430771	45565068	45523262	-42403	2139	+
372	chr20	45533467	45534467	45533967	2139	EYA2	45430771	45565068	45523262	10704	2139	+
252	chr20	45591750	45592750	45592250	2139	EYA2	45565069	45607497	45606873	-14622	2139	+
170	chr20	45593825	45594825	45594325	2139	EYA2	45565069	45607497	45606873	-12547	2139	+
355	chr20	45686015	45687015	45686515	2139	EYA2	45613486	45743266	45618639	67875	2139	+
128	chr20	45443147	45444147	45443647	2139	EYA2	45430771	45565068	45523262	-79614	2139	+
213	chr20	45478422	45479422	45478922	2139	EYA2	45430771	45565068	45523262	-44339	2139	+
445	chr20	1396376	1397376	1396876	2280	FKBP1A	1341828	1404383	1373816	-23059	100528031	-
357	chr20	1380256	1381256	1380756	2280	FKBP1A	1341828	1404383	1373816	-6939	100528031	-
501	chr20	12214577	12215577	12215077	22903	BTBD3	11898551	12444095	11900017	315059	22903	+
171	chr20	12266813	12267813	12267313	22903	BTBD3	11898551	12444095	11900017	367295	22903	+
195	chr20	11779556	11780556	11780056	22903	BTBD3	11263086	11885006	11871476	-91419	22903	+
307	chr20	23124242	23125242	23124742	22918	CD93	23048640	23199175	23113273	-11468	200261	-
196	chr20	23096876	23097876	23097376	22918	CD93	23048640	23199175	23113273	15896	200261	-
540	chr20	23184160	23185160	23184660	22918	CD93	23048640	23199175	23113273	-71386	200261	-
308	chr20	23192454	23193454	23192954	22918	CD93	23048640	23199175	23113273	-79680	200261	-
97	chr20	31419406	31420406	31419906	22919	MAPRE1	31398170	31499969	31407698	12207	22919	+
210	chr20	25534168	25535168	25534668	22981	NINL	25502884	25585401	25521018	-13649	22981	-
386	chr20	25519391	25520391	25519891	22981	NINL	25502884	25585401	25521018	1126	22981	-
92	chr20	25477433	25478433	25477933	22981	NINL	25413968	25502883	25439612	-38320	22981	-
240	chr20	25505908	25506908	25506408	22981	NINL	25502884	25585401	25521018	14609	22981	-
81	chr20	39920495	39921495	39920995	23051	ZHX3	39914819	39937491	39928739	7743	23051	-
120	chr20	30432603	30433603	30433103	2307	FOXS1	30426119	30445611	30433420	316	2307	-
205	chr20	8224251	8225251	8224751	23236	PLCB1	8056845	8347338	8112911	111839	23236	+
314	chr20	8341518	8342518	8342018	23236	PLCB1	8056845	8347338	8112911	229106	23236	+
398	chr20	8122462	8123462	8122962	23236	PLCB1	8056845	8347338	8112911	10050	23236	+
254	chr20	8230887	8231887	8231387	23236	PLCB1	8056845	8347338	8112911	118475	23236	+
497	chr20	8189278	8190278	8189778	23236	PLCB1	8056845	8347338	8112911	76866	23236	+
232	chr20	48428637	48429637	48429137	23315	SLC9A8	48379836	48455257	48429249	-111	23315	+
223	chr20	48453331	48454331	48453831	23315	SLC9A8	48379836	48455257	48429249	24581	23315	+
316	chr20	48477151	48478151	48477651	23315	SLC9A8	48455258	48505770	48481275	-3623	23315	+
230	chr20	30815242	30816242	30815742	23509	POFUT1	30795622	30830581	30795695	20046	23509	+
368	chr20	30799236	30800236	30799736	23509	POFUT1	30795622	30830581	30795695	4040	23509	+
7	chr20	45973708	45974708	45974208	23613	ZMYND8	45962239	45976765	45976670	2461	23613	-
136	chr20	45947401	45948401	45947901	23613	ZMYND8	45926673	45962238	45947805	-95	23613	-
77	chr20	45775071	45776071	45775571	23613	ZMYND8	45743267	45886716	45795608	-20036	100500814	+
9	chr20	46011074	46012074	46011574	23613	ZMYND8	45984939	46058065	45985474	-26099	23613	-
511	chr20	55891661	55892661	55892161	23626	SPO11	55873270	55915487	55896647	4485	100422883	-
87	chr20	9511929	9512929	9512429	24141	LAMP5	9423426	9657479	9495004	17424	24141	+
544	chr20	44279867	44280867	44280367	259239	WFDC11	44279394	44314766	44298878	18510	259239	-
95	chr20	35897884	35898884	35898384	2691	GHRH	35887776	35904144	35890238	-8145	2691	-
301	chr20	35892713	35893713	35893213	2691	GHRH	35887776	35904144	35890238	-2974	2691	-
93	chr20	1315223	1316223	1315723	27111	SDCBP2	1302072	1341827	1309879	-5843	27111	-
84	chr20	17876602	17877602	17877102	27131	SNX5	17811616	17945896	17942638	65535	27131	-
495	chr20	17889992	17890992	17890492	27131	SNX5	17811616	17945896	17942638	52145	27131	-
63	chr20	17875460	17876460	17875960	27131	SNX5	17811616	17945896	17942638	66677	27131	-
218	chr20	17908934	17909934	17909434	27131	SNX5	17811616	17945896	17942638	33203	27131	-
469	chr20	44002117	44003117	44002617	27296	TP53TG5	43999330	44020814	44006957	4339	27296	-
123	chr20	61275159	61276159	61275659	28231	SLCO4A1	61263370	61280753	61273796	1862	28231	+
546	chr20	61266264	61267264	61266764	28231	SLCO4A1	61263370	61280753	61273796	-7031	28231	+
276	chr20	46713772	46714772	46714272	284749	LINC00494	46702008	47130886	46988653	-274380	284749	+
430	chr20	46912176	46913176	46912676	284749	LINC00494	46702008	47130886	46988653	-75976	284749	+
453	chr20	46956277	46957277	46956777	284749	LINC00494	46702008	47130886	46988653	-31875	284749	+
4	chr20	46704358	46705358	46704858	284749	LINC00494	46702008	47130886	46988653	-283794	284749	+
285	chr20	47110187	47111187	47110687	284749	LINC00494	46702008	47130886	46994389	116297	284749	+
376	chr20	46752777	46753777	46753277	284749	LINC00494	46702008	47130886	46988653	-235375	284749	+
60	chr20	46852917	46853917	46853417	284749	LINC00494	46702008	47130886	46988653	-135235	284749	+
231	chr20	46874821	46875821	46875321	284749	LINC00494	46702008	47130886	46988653	-113331	284749	+
433	chr20	46918145	46919145	46918645	284749	LINC00494	46702008	47130886	46988653	-70007	284749	+
207	chr20	47113060	47114060	47113560	284749	LINC00494	46702008	47130886	46994389	119170	284749	+
381	chr20	47090571	47091571	47091071	284749	LINC00494	46702008	47130886	46994389	96681	284749	+
457	chr20	47088523	47089523	47089023	284749	LINC00494	46702008	47130886	46994389	94633	284749	+
19	chr20	46786449	46787449	46786949	284749	LINC00494	46702008	47130886	46988653	-201703	284749	+
228	chr20	46923847	46924847	46924347	284749	LINC00494	46702008	47130886	46988653	-64305	284749	+
354	chr20	58707046	58708046	58707546	284756	C20orf197	58601205	59229269	58713547	-6000	284757	+
75	chr20	58653185	58654185	58653685	284756	C20orf197	58601205	59229269	58630979	22705	284756	+
375	chr20	58783792	58784792	58784292	284756	C20orf197	58601205	59229269	58713547	70744	284757	+
153	chr20	58713707	58714707	58714207	284756	C20orf197	58601205	59229269	58713547	659	284757	+
533	chr20	58711350	58712350	58711850	284756	C20orf197	58601205	59229269	58713547	-1696	284757	+
14	chr20	58637760	58638760	58638260	284756	C20orf197	58601205	59229269	58630979	7280	284756	+
