Protein	Gene	Description	N	logFC	AveExpr	t	P.Value	adj.P.Val	B	logFCcontrol	FOXA1_0min	FOXA1_45min	IgG	PR590:FOXA1 0min	PR590:FOXA1 45min	PR590:IgG	PR622:FOXA1 0min	PR622:FOXA1 45min	PR622:IgG	PR650:FOXA1 0min	PR650:FOXA1 45min	PR650:IgG
A6NDG6	PGP	Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	2	0.14283505682288	5.54095774367485	NA	NA	NA	NA	0.177942638312937	5.61274917363385	5.75558423045673	5.57764159214379	5.64961545906341	5.64220645255563	5.88682882127555	5.40696419874316	5.7000433188967	5.09953567355091	NA	NA	NA
A6NDU8	CE051	UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1	2	0.382954487779187	6.29405261381605	NA	NA	NA	NA	0.618994759061386	6.66142302744045	7.04437751521964	6.42538275615825	6.60574406285766	6.79979041893185	6.19658456363045	6.00610563463408	6.57796825411827	5.94318459129689	NA	NA	NA
A8MWD9	RUXGL	Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2	3	-0.256857036885005	7.58637630600863	-1.56453155549898	0.135139849660475	0.99785365142717	-4.50372850803546	0.265624329076915	7.2956787495693	7.0388217126843	7.03005442049239	7.35843142862635	7.16920920135773	6.98397078970631	8.8020547027042	8.35557133839774	8.58941038747495	7.27192984397086	7.13706432489093	7.06216181088941
B5ME19	EIFCL	Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1	2	-0.0852443935341132	8.29129559473397	NA	NA	NA	NA	-0.831014130472844	7.19489586441596	7.10965147088185	8.0259099948888	6.77271516872353	7.0175242851298	8.28424574982967	9.11392816424978	8.69863026077529	9.26442584408933	NA	NA	NA
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	3	-0.0669405889718409	9.11633309274947	-0.226979428283393	0.823002999001339	0.99785365142717	-4.67284188693146	-1.17976222267448	9.67746481163524	9.6105242226634	10.8572270343097	10.0922097037858	9.70735913208088	11.1746760596882	9.60399717008549	10.0422651987122	10.2833529827383	9.28593058182032	9.03169135798297	11.0633950812885
E9PAV3	NACAM	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1	3	-0.143055254468688	7.55268763060737	-0.629213795250854	0.537130337209258	0.99785365142717	-4.64602181119937	-0.621930088001146	6.32706098033594	6.18400572586725	6.94899106833708	6.33959553687446	6.40258575823259	6.75755668893945	9.37218100891549	8.91894839975748	9.45594362494581	6.51997316057235	6.48104978496617	7.88403965648048
O00151	PDLI1	PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	3	0.0206366083801219	6.92988905866452	0.0958287313805497	0.924717655243331	0.99785365142717	-4.67620452070722	-0.662233010011505	6.68121723473915	6.70185384311927	7.36408685313077	6.55524646547352	6.57969306345875	7.91104951846922	8.38758656581935	8.41794290648023	8.52042224852645	5.43938567643554	5.4464925629298	5.99935579590763
O00170	AIP	AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2	2	-0.0598172675600788	6.88959731462166	NA	NA	NA	NA	0.0662975657210838	5.80689031053967	5.74707304297959	5.74059274481859	5.65861954244647	5.8152460422538	5.76344951566689	7.81442224656679	7.53816121163929	7.57699714190419	NA	NA	NA
O00193	SMAP	Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1	1	0.0351084892175173	7.20265487566763	NA	NA	NA	NA	0.685684529719059	7.57148179115301	7.60659028037053	6.92090575065147	7.57148179115301	7.60659028037053	6.92090575065147	NA	NA	NA	NA	NA	NA
O00232	PSD12	26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3	2	0.126696938565921	7.91585245198975	NA	NA	NA	NA	-0.548423854020387	8.04690600963174	8.17360294819766	8.72202680221804	7.88978641238614	8.18763485754812	9.01300356811629	7.66137093060894	7.61691636257881	7.88839536005141	NA	NA	NA
